#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MAST2	PTEN	0	0	0	0	0	0	0	0	0	0	0.993
MAST2	TRAF6	0	0	0	0	0	0	0	0	0	0	0.859
MAST2	MAGI2	0	0	0	0	0	0	0	0	0	0	0.74
MAST2	HIVEP3	0	0	0	0	0	0	0	0	0	0	0.716
MAST2	GPBP1L1	0	0	0	0	0	0	0	0	0	0	0.713
MAST2	SNTB2	0	0	0	0	0	0	0	0	0	0	0.701
MAST2	ELAVL4	0	0	0	0	0	0	0	0	0	0	0.68
MAST2	PTPN4	0	0	0	0	0	0	0	0	0	0	0.667
MAST2	TCTE1	0	0	0	0	0	0	0	0	0	0	0.652
MAST2	TMEM69	0	0	0	0	0	0	0	0	0	0	0.649
