#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UBE2S	ANAPC11	0	0	0	0	0	0	0	0	0	0	0.999
UBE2S	UBA1	0	0	0	0	0	0	0	0	0	0	0.997
UBE2S	CDC20	0	0	0	0	0	0	0	0	0	0	0.996
UBE2S	UBC	0	0	0	0	0	0	0	0	0	0	0.994
UBE2S	CDC27	0	0	0	0	0	0	0	0	0	0	0.993
UBE2S	UBB	0	0	0	0	0	0	0	0	0	0	0.983
UBE2S	CDC23	0	0	0	0	0	0	0	0	0	0	0.983
UBE2S	UBE2C	0	0	0	0	0	0	0	0	0	0	0.981
UBE2S	UBE2V1	0	0	0	0	0	0	0	0	0	0	0.979
UBE2S	ANAPC2	0	0	0	0	0	0	0	0	0	0	0.978
