#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DHFR	SPR	9606.ENSP00000396308	9606.ENSP00000234454	0	0	0	0	0.086	0	0.907	0.815	0.982
DHFR	TPH1	9606.ENSP00000396308	9606.ENSP00000250018	0	0	0	0	0	0	0.900	0.351	0.932
DHFR	QDPR	9606.ENSP00000396308	9606.ENSP00000281243	0	0	0	0	0.081	0	0.907	0.773	0.979
DHFR	PCBD1	9606.ENSP00000396308	9606.ENSP00000299299	0	0	0	0	0.061	0	0	0.389	0.401
DHFR	DHFR2	9606.ENSP00000396308	9606.ENSP00000319170	0	0	0.049	0.983	0.079	0.077	0.900	0.053	0.909
DHFR	TPH2	9606.ENSP00000396308	9606.ENSP00000329093	0	0	0	0	0	0	0.900	0.084	0.904
DHFR	TH	9606.ENSP00000396308	9606.ENSP00000370571	0	0	0	0	0	0	0.900	0.201	0.916
DHFR	PAH	9606.ENSP00000396308	9606.ENSP00000448059	0	0	0	0	0.062	0	0.900	0.323	0.930
DHFR2	SPR	9606.ENSP00000319170	9606.ENSP00000234454	0	0	0	0	0.074	0	0.907	0.849	0.985
DHFR2	TPH1	9606.ENSP00000319170	9606.ENSP00000250018	0	0	0	0	0	0	0.900	0.408	0.938
DHFR2	QDPR	9606.ENSP00000319170	9606.ENSP00000281243	0	0	0	0	0.074	0	0.907	0.802	0.981
DHFR2	TPH2	9606.ENSP00000319170	9606.ENSP00000329093	0	0	0	0	0	0	0.900	0.083	0.904
DHFR2	PAH	9606.ENSP00000319170	9606.ENSP00000448059	0	0	0	0	0.044	0	0.900	0.280	0.925
DHFR2	TH	9606.ENSP00000319170	9606.ENSP00000370571	0	0	0	0	0	0	0.900	0.397	0.937
PAH	SPR	9606.ENSP00000448059	9606.ENSP00000234454	0	0	0	0	0.058	0	0.913	0.792	0.981
PAH	QDPR	9606.ENSP00000448059	9606.ENSP00000281243	0	0	0.239	0	0.049	0.230	0.913	0.845	0.991
PAH	PCBD1	9606.ENSP00000448059	9606.ENSP00000299299	0.095	0	0	0	0.544	0.230	0.938	0.656	0.992
PAH	TH	9606.ENSP00000448059	9606.ENSP00000370571	0	0	0.070	0.941	0	0.071	0.800	0.115	0.826
PAH	PCBD2	9606.ENSP00000448059	9606.ENSP00000421544	0.095	0	0	0	0.542	0	0.938	0.383	0.982
PCBD1	SPR	9606.ENSP00000299299	9606.ENSP00000234454	0	0	0	0	0.268	0	0.215	0.764	0.852
PCBD1	TPH1	9606.ENSP00000299299	9606.ENSP00000250018	0.095	0	0	0	0.542	0	0.938	0.580	0.987
PCBD1	QDPR	9606.ENSP00000299299	9606.ENSP00000281243	0	0	0	0	0.092	0	0.934	0.945	0.996
PCBD1	PCBD2	9606.ENSP00000299299	9606.ENSP00000421544	0	0	0.059	0.962	0.049	0.519	0.913	0.074	0.959
PCBD1	TPH2	9606.ENSP00000299299	9606.ENSP00000329093	0.095	0	0	0	0.542	0	0.938	0.262	0.978
PCBD1	TH	9606.ENSP00000299299	9606.ENSP00000370571	0.095	0	0	0	0.542	0	0.938	0.574	0.987
PCBD2	SPR	9606.ENSP00000421544	9606.ENSP00000234454	0	0	0	0	0.076	0	0.215	0.266	0.422
PCBD2	TPH1	9606.ENSP00000421544	9606.ENSP00000250018	0.095	0	0	0	0.542	0	0.938	0.207	0.977
PCBD2	QDPR	9606.ENSP00000421544	9606.ENSP00000281243	0	0	0	0	0.085	0	0.934	0.431	0.962
PCBD2	TPH2	9606.ENSP00000421544	9606.ENSP00000329093	0.095	0	0	0	0.551	0	0.938	0.207	0.977
PCBD2	TH	9606.ENSP00000421544	9606.ENSP00000370571	0.095	0	0	0	0.542	0	0.938	0.284	0.979
QDPR	SPR	9606.ENSP00000281243	9606.ENSP00000234454	0	0	0	0	0.091	0.226	0.900	0.865	0.989
QDPR	TPH1	9606.ENSP00000281243	9606.ENSP00000250018	0	0	0.219	0	0	0	0.913	0.602	0.970
QDPR	TPH2	9606.ENSP00000281243	9606.ENSP00000329093	0	0	0.227	0	0	0	0.913	0.257	0.946
QDPR	TH	9606.ENSP00000281243	9606.ENSP00000370571	0	0	0.206	0	0	0	0.913	0.636	0.972
QDPR	RYR1	9606.ENSP00000281243	9606.ENSP00000352608	0	0	0	0	0	0	0	0.986	0.986
SPR	TPH2	9606.ENSP00000234454	9606.ENSP00000329093	0	0	0	0	0.058	0	0.913	0.411	0.947
SPR	TPH1	9606.ENSP00000234454	9606.ENSP00000250018	0	0	0	0	0.058	0	0.913	0.413	0.948
SPR	TH	9606.ENSP00000234454	9606.ENSP00000370571	0	0	0	0	0.055	0	0.913	0.653	0.969
TPH1	TPH2	9606.ENSP00000250018	9606.ENSP00000329093	0	0	0.052	0.976	0.044	0.610	0.900	0.061	0.960
