#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PRNP	STIP1	0	0	0	0	0	0	0	0	0	0	0.998
PRNP	RPSA	0	0	0	0	0	0	0	0	0	0	0.997
PRNP	FYN	0	0	0	0	0	0	0	0	0	0	0.997
PRNP	APP	0	0	0	0	0	0	0	0	0	0	0.993
PRNP	NCAM1	0	0	0	0	0	0	0	0	0	0	0.991
PRNP	PLG	0	0	0	0	0	0	0	0	0	0	0.987
PRNP	HSPA5	0	0	0	0	0	0	0	0	0	0	0.984
PRNP	GRM5	0	0	0	0	0	0	0	0	0	0	0.983
PRNP	CAV1	0	0	0	0	0	0	0	0	0	0	0.979
PRNP	GPC1	0	0	0	0	0	0	0	0	0	0	0.965
