#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KCNA4	DLG4	0	0	0	0	0	0	0	0	0	0	0.997
KCNA4	KCNAB2	0	0	0	0	0	0	0	0	0	0	0.991
KCNA4	KCNA1	0	0	0	0	0	0	0	0	0	0	0.987
KCNA4	KCNAB1	0	0	0	0	0	0	0	0	0	0	0.986
KCNA4	KCNA2	0	0	0	0	0	0	0	0	0	0	0.983
KCNA4	KCNAB3	0	0	0	0	0	0	0	0	0	0	0.962
KCNA4	DLG1	0	0	0	0	0	0	0	0	0	0	0.929
KCNA4	DLG2	0	0	0	0	0	0	0	0	0	0	0.923
KCNA4	SIGMAR1	0	0	0	0	0	0	0	0	0	0	0.917
KCNA4	KCNIP2	0	0	0	0	0	0	0	0	0	0	0.914
