#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HSPB1	MAPKAPK2	0	0	0	0	0	0	0	0	0	0	0.998
HSPB1	DAXX	0	0	0	0	0	0	0	0	0	0	0.996
HSPB1	AKT1	0	0	0	0	0	0	0	0	0	0	0.995
HSPB1	CYCS	0	0	0	0	0	0	0	0	0	0	0.993
HSPB1	MAPKAPK5	0	0	0	0	0	0	0	0	0	0	0.992
HSPB1	MAPK14	0	0	0	0	0	0	0	0	0	0	0.985
HSPB1	MAPKAPK3	0	0	0	0	0	0	0	0	0	0	0.981
HSPB1	HSPA8	0	0	0	0	0	0	0	0	0	0	0.972
HSPB1	HSP90AA1	0	0	0	0	0	0	0	0	0	0	0.966
HSPB1	HSPA1A	0	0	0	0	0	0	0	0	0	0	0.964
