#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CBLN1	DLG4	9606.ENSP00000219197	9606.ENSP00000497806	0	0	0	0	0.109	0.054	0	0.348	0.402
CBLN1	NLGN3	9606.ENSP00000219197	9606.ENSP00000351591	0	0	0	0	0.110	0.057	0	0.460	0.507
CBLN1	NLGN2	9606.ENSP00000219197	9606.ENSP00000305288	0	0	0	0	0.119	0.057	0	0.512	0.559
CBLN1	NLGN4X	9606.ENSP00000219197	9606.ENSP00000370483	0	0	0	0	0.121	0.057	0	0.512	0.560
CBLN1	NLGN1	9606.ENSP00000219197	9606.ENSP00000392500	0	0	0	0	0.098	0.057	0	0.579	0.611
CBLN1	LRRTM2	9606.ENSP00000219197	9606.ENSP00000274711	0	0	0	0	0.085	0.091	0	0.687	0.717
CBLN1	NRXN1	9606.ENSP00000219197	9606.ENSP00000385142	0	0	0	0	0.181	0.104	0	0.993	0.994
DAG1	NLGN2	9606.ENSP00000442600	9606.ENSP00000305288	0	0	0	0	0.073	0	0	0.576	0.590
DAG1	NRXN1	9606.ENSP00000442600	9606.ENSP00000385142	0	0	0	0	0	0	0.700	0.996	0.998
DLG4	LRRTM2	9606.ENSP00000497806	9606.ENSP00000274711	0	0	0	0	0.068	0.110	0	0.891	0.902
DLG4	NLGN2	9606.ENSP00000497806	9606.ENSP00000305288	0	0	0	0	0.188	0.287	0.500	0.995	0.998
DLG4	NLGN4Y	9606.ENSP00000497806	9606.ENSP00000348169	0	0	0	0	0.044	0.106	0.500	0.972	0.986
DLG4	NLGN3	9606.ENSP00000497806	9606.ENSP00000351591	0	0	0	0	0.150	0.282	0.500	0.988	0.995
DLG4	NLGN4X	9606.ENSP00000497806	9606.ENSP00000370483	0	0	0	0	0.043	0.339	0.500	0.986	0.995
DLG4	NRXN1	9606.ENSP00000497806	9606.ENSP00000385142	0	0	0	0	0.084	0.113	0.500	0.980	0.991
DLG4	NLGN1	9606.ENSP00000497806	9606.ENSP00000392500	0	0	0	0	0.068	0.650	0.500	0.996	0.999
LRRTM2	NLGN4Y	9606.ENSP00000274711	9606.ENSP00000348169	0	0	0	0	0.049	0.045	0	0.467	0.474
LRRTM2	NLGN2	9606.ENSP00000274711	9606.ENSP00000305288	0	0	0	0	0	0.045	0	0.648	0.650
LRRTM2	NLGN4X	9606.ENSP00000274711	9606.ENSP00000370483	0	0	0	0	0.064	0.045	0	0.716	0.724
LRRTM2	NLGN3	9606.ENSP00000274711	9606.ENSP00000351591	0	0	0	0	0.081	0.045	0	0.712	0.725
LRRTM2	NLGN1	9606.ENSP00000274711	9606.ENSP00000392500	0	0	0	0	0.086	0.045	0	0.805	0.815
LRRTM2	NRXN1	9606.ENSP00000274711	9606.ENSP00000385142	0	0	0	0	0.157	0.439	0.500	0.992	0.997
NLGN1	NLGN2	9606.ENSP00000392500	9606.ENSP00000305288	0	0	0.058	0.965	0.084	0	0.500	0.395	0.704
NLGN1	NLGN4Y	9606.ENSP00000392500	9606.ENSP00000348169	0	0	0.053	0.974	0.061	0	0.500	0.054	0.523
NLGN1	NLGN3	9606.ENSP00000392500	9606.ENSP00000351591	0	0	0.056	0.968	0.117	0.330	0.500	0.393	0.799
NLGN1	NLGN4X	9606.ENSP00000392500	9606.ENSP00000370483	0	0	0.053	0.975	0.103	0	0.500	0.063	0.548
NLGN1	NXPH1	9606.ENSP00000392500	9606.ENSP00000384551	0	0	0	0	0.146	0	0	0.467	0.525
NLGN1	NRXN1	9606.ENSP00000392500	9606.ENSP00000385142	0	0	0	0	0.181	0.806	0.900	0.999	0.999
NLGN2	NXPH1	9606.ENSP00000305288	9606.ENSP00000384551	0	0	0	0	0.106	0	0	0.371	0.414
NLGN2	NLGN4Y	9606.ENSP00000305288	9606.ENSP00000348169	0	0	0.059	0.963	0	0	0.500	0.073	0.525
NLGN2	NLGN3	9606.ENSP00000305288	9606.ENSP00000351591	0	0	0.059	0.962	0.138	0.236	0.500	0.133	0.683
NLGN2	NLGN4X	9606.ENSP00000305288	9606.ENSP00000370483	0	0	0.058	0.964	0.072	0	0.500	0.403	0.704
NLGN2	NRXN1	9606.ENSP00000305288	9606.ENSP00000385142	0	0	0	0	0.074	0.478	0.900	0.999	0.999
NLGN3	NLGN4Y	9606.ENSP00000351591	9606.ENSP00000348169	0	0	0.053	0.974	0.086	0.373	0.500	0.055	0.697
NLGN3	NXPH1	9606.ENSP00000351591	9606.ENSP00000384551	0	0	0	0	0.161	0	0	0.335	0.418
NLGN3	NLGN4X	9606.ENSP00000351591	9606.ENSP00000370483	0	0	0.053	0.975	0.137	0.550	0.500	0.064	0.796
NLGN3	NRXN1	9606.ENSP00000351591	9606.ENSP00000385142	0	0	0	0	0.139	0.478	0.900	0.999	0.999
NLGN4X	NLGN4Y	9606.ENSP00000370483	9606.ENSP00000348169	0	0	0.047	0.987	0.060	0	0.500	0.053	0.519
NLGN4X	NXPH1	9606.ENSP00000370483	9606.ENSP00000384551	0	0	0	0	0.159	0	0	0.324	0.407
NLGN4X	NRXN1	9606.ENSP00000370483	9606.ENSP00000385142	0	0	0	0	0.146	0.926	0.900	0.999	0.999
NLGN4Y	NRXN1	9606.ENSP00000348169	9606.ENSP00000385142	0	0	0	0	0.086	0.294	0.900	0.998	0.999
NRXN1	NXPH1	9606.ENSP00000385142	9606.ENSP00000384551	0	0	0	0	0.202	0.507	0	0.937	0.973
