#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLG1	SHANK1	9606.ENSP00000345731	9606.ENSP00000293441	0	0	0	0	0.080	0.114	0	0.376	0.446
DLG1	DLGAP1	9606.ENSP00000345731	9606.ENSP00000316377	0	0	0	0	0.048	0.727	0	0.833	0.952
DLG1	HOMER1	9606.ENSP00000345731	9606.ENSP00000334382	0	0	0	0	0.043	0.052	0	0.547	0.553
DLG1	SHANK2	9606.ENSP00000345731	9606.ENSP00000345193	0	0	0	0	0.056	0.066	0	0.391	0.416
DLG1	DLGAP4	9606.ENSP00000345731	9606.ENSP00000363023	0	0	0	0	0.044	0.492	0	0.199	0.577
DLG1	DLGAP2	9606.ENSP00000345731	9606.ENSP00000489774	0	0	0	0	0.063	0.612	0	0.276	0.714
DLG1	DLG4	9606.ENSP00000345731	9606.ENSP00000497806	0	0	0.053	0.973	0	0.138	0.800	0.764	0.956
DLG1	DLG2	9606.ENSP00000345731	9606.ENSP00000365272	0	0	0.054	0.969	0	0	0.900	0.637	0.962
DLG1	DLG3	9606.ENSP00000345731	9606.ENSP00000363480	0	0	0.056	0.966	0.057	0.606	0.900	0.396	0.974
DLG2	SHANK1	9606.ENSP00000365272	9606.ENSP00000293441	0	0	0	0	0.143	0.114	0.500	0.717	0.878
DLG2	HOMER2	9606.ENSP00000365272	9606.ENSP00000305632	0	0	0	0	0.042	0.052	0.500	0.244	0.610
DLG2	DLGAP1	9606.ENSP00000365272	9606.ENSP00000316377	0	0	0	0	0.143	0.452	0.500	0.590	0.890
DLG2	HOMER1	9606.ENSP00000365272	9606.ENSP00000334382	0	0	0	0	0.062	0.052	0.500	0.646	0.821
DLG2	SHANK2	9606.ENSP00000365272	9606.ENSP00000345193	0	0	0	0	0.088	0.066	0.500	0.610	0.811
DLG2	DLGAP3	9606.ENSP00000365272	9606.ENSP00000362444	0	0	0	0	0.123	0.174	0.500	0.629	0.847
DLG2	DLGAP4	9606.ENSP00000365272	9606.ENSP00000363023	0	0	0	0	0	0.067	0.500	0.576	0.785
DLG2	DLG3	9606.ENSP00000365272	9606.ENSP00000363480	0	0	0.055	0.965	0.061	0.217	0.900	0.815	0.984
DLG2	HOMER3	9606.ENSP00000365272	9606.ENSP00000439937	0	0	0	0	0	0.052	0.500	0.312	0.645
DLG2	DLGAP2	9606.ENSP00000365272	9606.ENSP00000489774	0	0	0	0	0.157	0.242	0.500	0.480	0.811
DLG2	DLG4	9606.ENSP00000365272	9606.ENSP00000497806	0	0	0.056	0.966	0.087	0.386	0.400	0.918	0.969
DLG3	SHANK1	9606.ENSP00000363480	9606.ENSP00000293441	0	0	0	0	0.080	0.114	0.500	0.520	0.778
DLG3	HOMER2	9606.ENSP00000363480	9606.ENSP00000305632	0	0	0	0	0	0.052	0.500	0.251	0.613
DLG3	DLGAP1	9606.ENSP00000363480	9606.ENSP00000316377	0	0	0	0	0.048	0.450	0.500	0.622	0.887
DLG3	HOMER1	9606.ENSP00000363480	9606.ENSP00000334382	0	0	0	0	0.062	0.052	0.500	0.419	0.707
DLG3	SHANK2	9606.ENSP00000363480	9606.ENSP00000345193	0	0	0	0	0.088	0.066	0.500	0.470	0.744
DLG3	DLGAP3	9606.ENSP00000363480	9606.ENSP00000362444	0	0	0	0	0.057	0.090	0.500	0.661	0.835
DLG3	DLGAP4	9606.ENSP00000363480	9606.ENSP00000363023	0	0	0	0	0.049	0.435	0.500	0.532	0.857
DLG3	HOMER3	9606.ENSP00000363480	9606.ENSP00000439937	0	0	0	0	0	0.052	0.500	0.287	0.633
DLG3	DLGAP2	9606.ENSP00000363480	9606.ENSP00000489774	0	0	0	0	0.056	0.641	0.500	0.333	0.872
DLG3	DLG4	9606.ENSP00000363480	9606.ENSP00000497806	0	0	0.057	0.965	0	0.547	0.900	0.955	0.997
DLG4	SHANK1	9606.ENSP00000497806	9606.ENSP00000293441	0	0	0	0	0.197	0.356	0.500	0.974	0.992
DLG4	HOMER2	9606.ENSP00000497806	9606.ENSP00000305632	0	0	0	0	0	0.052	0.500	0.573	0.779
DLG4	DLGAP1	9606.ENSP00000497806	9606.ENSP00000316377	0	0	0	0	0.092	0.984	0.500	0.998	0.999
DLG4	HOMER1	9606.ENSP00000497806	9606.ENSP00000334382	0	0	0	0	0	0.052	0.500	0.977	0.988
DLG4	SHANK2	9606.ENSP00000497806	9606.ENSP00000345193	0	0	0	0	0.056	0.522	0.500	0.973	0.993
DLG4	DLGAP3	9606.ENSP00000497806	9606.ENSP00000362444	0	0	0	0	0.187	0.277	0.500	0.981	0.993
DLG4	DLGAP4	9606.ENSP00000497806	9606.ENSP00000363023	0	0	0	0	0.063	0.277	0.500	0.648	0.864
DLG4	HOMER3	9606.ENSP00000497806	9606.ENSP00000439937	0	0	0	0	0.074	0.052	0.500	0.736	0.868
DLG4	DLGAP2	9606.ENSP00000497806	9606.ENSP00000489774	0	0	0	0	0.155	0.328	0.500	0.662	0.891
DLGAP1	SHANK1	9606.ENSP00000316377	9606.ENSP00000293441	0	0	0	0	0.167	0.727	0.500	0.975	0.996
DLGAP1	HOMER2	9606.ENSP00000316377	9606.ENSP00000305632	0	0	0	0	0.055	0.091	0.500	0.707	0.857
DLGAP1	DLGAP4	9606.ENSP00000316377	9606.ENSP00000363023	0	0	0	0.911	0	0.099	0.500	0.116	0.567
DLGAP1	DLGAP2	9606.ENSP00000316377	9606.ENSP00000489774	0	0	0	0.934	0.188	0.260	0.500	0.131	0.704
DLGAP1	DLGAP3	9606.ENSP00000316377	9606.ENSP00000362444	0	0	0	0.871	0.176	0.319	0.500	0.133	0.724
