#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MAP3K5	TXN	0	0	0	0	0	0	0	0	0	0	0.999
MAP3K5	DAXX	0	0	0	0	0	0	0	0	0	0	0.999
MAP3K5	TRAF2	0	0	0	0	0	0	0	0	0	0	0.999
MAP3K5	DAB2IP	0	0	0	0	0	0	0	0	0	0	0.999
MAP3K5	TRAF6	0	0	0	0	0	0	0	0	0	0	0.999
MAP3K5	AKT1	0	0	0	0	0	0	0	0	0	0	0.996
MAP3K5	PARK7	0	0	0	0	0	0	0	0	0	0	0.996
MAP3K5	GSTM1	0	0	0	0	0	0	0	0	0	0	0.993
MAP3K5	MAP2K4	0	0	0	0	0	0	0	0	0	0	0.99
MAP3K5	YWHAZ	0	0	0	0	0	0	0	0	0	0	0.989
