#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LRFN2	DLG4	0	0	0	0	0	0	0	0	0	0	0.974
LRFN2	GRIN1	0	0	0	0	0	0	0	0	0	0	0.875
LRFN2	DLG3	0	0	0	0	0	0	0	0	0	0	0.864
LRFN2	DLG1	0	0	0	0	0	0	0	0	0	0	0.841
LRFN2	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.81
LRFN2	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.764
LRFN2	SUOX	0	0	0	0	0	0	0	0	0	0	0.726
LRFN2	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.697
LRFN2	RTN3	0	0	0	0	0	0	0	0	0	0	0.667
LRFN2	C6orf132	0	0	0	0	0	0	0	0	0	0	0.653
