#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
WASL	NCK1	0	0	0	0	0	0	0	0	0	0	0.999
WASL	WIPF1	0	0	0	0	0	0	0	0	0	0	0.999
WASL	CDC42	0	0	0	0	0	0	0	0	0	0	0.999
WASL	ACTR2	0	0	0	0	0	0	0	0	0	0	0.999
WASL	WIPF2	0	0	0	0	0	0	0	0	0	0	0.998
WASL	GRB2	0	0	0	0	0	0	0	0	0	0	0.998
WASL	ABI1	0	0	0	0	0	0	0	0	0	0	0.998
WASL	ARPC2	0	0	0	0	0	0	0	0	0	0	0.998
WASL	ACTR3	0	0	0	0	0	0	0	0	0	0	0.997
WASL	CTTN	0	0	0	0	0	0	0	0	0	0	0.997
