#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MTOR	PRKAB2	9606.ENSP00000354558	9606.ENSP00000254101	0	0	0	0	0.098	0.090	0.900	0.306	0.935
MTOR	PPARGC1A	9606.ENSP00000354558	9606.ENSP00000264867	0	0	0	0	0	0.068	0	0.694	0.703
MTOR	PRKAG2	9606.ENSP00000354558	9606.ENSP00000287878	0	0	0	0	0	0	0.900	0.260	0.922
MTOR	RPTOR	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0.301	0.999	0.900	0.999	0.999
MTOR	PRKAG1	9606.ENSP00000354558	9606.ENSP00000323867	0	0	0	0	0.092	0	0.900	0.645	0.964
MTOR	STK11	9606.ENSP00000354558	9606.ENSP00000324856	0	0	0	0	0.049	0.103	0	0.775	0.791
MTOR	PRKAA1	9606.ENSP00000354558	9606.ENSP00000346148	0	0	0	0	0.082	0.115	0.900	0.698	0.972
MTOR	PRKAG3	9606.ENSP00000354558	9606.ENSP00000397133	0	0	0	0	0	0	0.900	0.277	0.924
MTOR	PRKAB1	9606.ENSP00000354558	9606.ENSP00000441369	0	0	0	0	0.074	0.090	0.900	0.659	0.967
MTOR	PRKAA2	9606.ENSP00000354558	9606.ENSP00000360290	0	0	0	0	0	0.115	0.900	0.721	0.973
PPARGC1A	PRKAB2	9606.ENSP00000264867	9606.ENSP00000254101	0	0	0	0	0	0	0.900	0.360	0.933
PPARGC1A	STK11	9606.ENSP00000264867	9606.ENSP00000324856	0	0	0	0	0.074	0	0	0.656	0.668
PPARGC1A	RPTOR	9606.ENSP00000264867	9606.ENSP00000307272	0	0	0	0	0	0	0	0.683	0.683
PPARGC1A	PRKAG1	9606.ENSP00000264867	9606.ENSP00000323867	0	0	0	0	0.087	0	0.900	0.273	0.927
PPARGC1A	PRKAG2	9606.ENSP00000264867	9606.ENSP00000287878	0	0	0	0	0.087	0	0.900	0.327	0.933
PPARGC1A	PRKAB1	9606.ENSP00000264867	9606.ENSP00000441369	0	0	0	0	0	0	0.900	0.390	0.936
PPARGC1A	PRKAG3	9606.ENSP00000264867	9606.ENSP00000397133	0	0	0	0	0.087	0	0.900	0.373	0.937
PPARGC1A	PRKAA1	9606.ENSP00000264867	9606.ENSP00000346148	0	0	0	0	0.102	0.292	0.900	0.485	0.962
PPARGC1A	PRKAA2	9606.ENSP00000264867	9606.ENSP00000360290	0	0	0	0	0.135	0.292	0.900	0.488	0.964
PRKAA1	PRKAB2	9606.ENSP00000346148	9606.ENSP00000254101	0	0	0	0	0.070	0.982	0.900	0.936	0.999
PRKAA1	PRKAG2	9606.ENSP00000346148	9606.ENSP00000287878	0	0	0	0	0.128	0.913	0.900	0.883	0.999
PRKAA1	RPTOR	9606.ENSP00000346148	9606.ENSP00000307272	0	0	0	0	0.060	0.354	0.900	0.493	0.965
PRKAA1	PRKAG1	9606.ENSP00000346148	9606.ENSP00000323867	0	0	0	0	0.301	0.947	0.900	0.969	0.999
PRKAA1	STK11	9606.ENSP00000346148	9606.ENSP00000324856	0	0	0	0.732	0.049	0.759	0.900	0.474	0.986
PRKAA1	PRKAA2	9606.ENSP00000346148	9606.ENSP00000360290	0	0	0.052	0.976	0	0.433	0.900	0.748	0.984
PRKAA1	PRKAG3	9606.ENSP00000346148	9606.ENSP00000397133	0	0	0	0	0.104	0.847	0.900	0.859	0.997
PRKAA1	PRKAB1	9606.ENSP00000346148	9606.ENSP00000441369	0	0	0	0	0.095	0.985	0.900	0.980	0.999
PRKAA2	PRKAB2	9606.ENSP00000360290	9606.ENSP00000254101	0	0	0	0	0.043	0.992	0.900	0.970	0.999
PRKAA2	PRKAG2	9606.ENSP00000360290	9606.ENSP00000287878	0	0	0	0	0.110	0.906	0.900	0.854	0.998
PRKAA2	RPTOR	9606.ENSP00000360290	9606.ENSP00000307272	0	0	0	0	0	0.354	0.900	0.625	0.973
PRKAA2	PRKAG1	9606.ENSP00000360290	9606.ENSP00000323867	0	0	0	0	0.110	0.991	0.900	0.927	0.999
