#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIN3B	GRIN1	0	0	0	0	0	0	0	0	0	0	0.938
GRIN3B	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.925
GRIN3B	DLG4	0	0	0	0	0	0	0	0	0	0	0.923
GRIN3B	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.856
GRIN3B	CACNG2	0	0	0	0	0	0	0	0	0	0	0.83
GRIN3B	TMEM259	0	0	0	0	0	0	0	0	0	0	0.818
GRIN3B	PDYN	0	0	0	0	0	0	0	0	0	0	0.818
GRIN3B	GRIA4	0	0	0	0	0	0	0	0	0	0	0.807
GRIN3B	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.805
GRIN3B	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.804
