#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EP300	KAT2B	0	0	0	0	0	0	0	0	0	0	0.999
EP300	YY1	0	0	0	0	0	0	0	0	0	0	0.999
EP300	HDAC1	0	0	0	0	0	0	0	0	0	0	0.999
EP300	MEF2A	0	0	0	0	0	0	0	0	0	0	0.999
EP300	MYOD1	0	0	0	0	0	0	0	0	0	0	0.999
EP300	SIRT1	0	0	0	0	0	0	0	0	0	0	0.999
EP300	JMY	0	0	0	0	0	0	0	0	0	0	0.999
EP300	MDM2	0	0	0	0	0	0	0	0	0	0	0.999
EP300	TP53	0	0	0	0	0	0	0	0	0	0	0.999
EP300	NCOA1	0	0	0	0	0	0	0	0	0	0	0.999
