#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIN2B	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	GRIN1	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	GRIN3A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2B	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2B	DLG3	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2B	DLG2	0	0	0	0	0	0	0	0	0	0	0.996
GRIN2B	GRIN3B	0	0	0	0	0	0	0	0	0	0	0.996
