#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PARD6A	PRKCI	0	0	0	0	0	0	0	0	0	0	0.999
PARD6A	PARD3	0	0	0	0	0	0	0	0	0	0	0.999
PARD6A	PRKCZ	0	0	0	0	0	0	0	0	0	0	0.999
PARD6A	CDC42	0	0	0	0	0	0	0	0	0	0	0.999
PARD6A	SMURF1	0	0	0	0	0	0	0	0	0	0	0.986
PARD6A	LLGL2	0	0	0	0	0	0	0	0	0	0	0.981
PARD6A	TGFBR1	0	0	0	0	0	0	0	0	0	0	0.979
PARD6A	MPP5	0	0	0	0	0	0	0	0	0	0	0.962
PARD6A	NUMB	0	0	0	0	0	0	0	0	0	0	0.958
PARD6A	LLGL1	0	0	0	0	0	0	0	0	0	0	0.949
