#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARHGEF9	GPHN	0	0	0	0	0	0	0	0	0	0	0.994
ARHGEF9	CDC42	0	0	0	0	0	0	0	0	0	0	0.991
ARHGEF9	NLGN2	0	0	0	0	0	0	0	0	0	0	0.985
ARHGEF9	GABRA2	0	0	0	0	0	0	0	0	0	0	0.882
ARHGEF9	GABRG2	0	0	0	0	0	0	0	0	0	0	0.833
ARHGEF9	GLRB	0	0	0	0	0	0	0	0	0	0	0.773
ARHGEF9	KIAA2022	0	0	0	0	0	0	0	0	0	0	0.757
ARHGEF9	GABRB3	0	0	0	0	0	0	0	0	0	0	0.752
ARHGEF9	GABRG3	0	0	0	0	0	0	0	0	0	0	0.744
ARHGEF9	GABRA1	0	0	0	0	0	0	0	0	0	0	0.738
