#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
JUP	CDH1	0	0	0	0	0	0	0	0	0	0	0.999
JUP	DSP	0	0	0	0	0	0	0	0	0	0	0.997
JUP	CDH2	0	0	0	0	0	0	0	0	0	0	0.997
JUP	CTNNA1	0	0	0	0	0	0	0	0	0	0	0.996
JUP	DSG2	0	0	0	0	0	0	0	0	0	0	0.994
JUP	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.987
JUP	CTNND1	0	0	0	0	0	0	0	0	0	0	0.985
JUP	EGFR	0	0	0	0	0	0	0	0	0	0	0.984
JUP	PKP2	0	0	0	0	0	0	0	0	0	0	0.979
JUP	CDH5	0	0	0	0	0	0	0	0	0	0	0.977
