#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MEF2A	EP300	0	0	0	0	0	0	0	0	0	0	0.999
MEF2A	HDAC5	0	0	0	0	0	0	0	0	0	0	0.999
MEF2A	MAPK14	0	0	0	0	0	0	0	0	0	0	0.998
MEF2A	MYOD1	0	0	0	0	0	0	0	0	0	0	0.996
MEF2A	HDAC9	0	0	0	0	0	0	0	0	0	0	0.993
MEF2A	MAPK7	0	0	0	0	0	0	0	0	0	0	0.988
MEF2A	HDAC4	0	0	0	0	0	0	0	0	0	0	0.984
MEF2A	MEF2D	0	0	0	0	0	0	0	0	0	0	0.973
MEF2A	CABIN1	0	0	0	0	0	0	0	0	0	0	0.969
MEF2A	HDAC7	0	0	0	0	0	0	0	0	0	0	0.967
