#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SQSTM1	MAP1LC3B	0	0	0	0	0	0	0	0	0	0	0.999
SQSTM1	KEAP1	0	0	0	0	0	0	0	0	0	0	0.999
SQSTM1	GABARAPL2	0	0	0	0	0	0	0	0	0	0	0.999
SQSTM1	TRAF6	0	0	0	0	0	0	0	0	0	0	0.999
SQSTM1	GABARAPL1	0	0	0	0	0	0	0	0	0	0	0.998
SQSTM1	PRKCI	0	0	0	0	0	0	0	0	0	0	0.998
SQSTM1	MAP1LC3A	0	0	0	0	0	0	0	0	0	0	0.998
SQSTM1	PRKCZ	0	0	0	0	0	0	0	0	0	0	0.998
SQSTM1	GABARAP	0	0	0	0	0	0	0	0	0	0	0.997
SQSTM1	WDFY3	0	0	0	0	0	0	0	0	0	0	0.997
