#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
STUB1	UBE2D1	0	0	0	0	0	0	0	0	0	0	0.999
STUB1	UBE2N	0	0	0	0	0	0	0	0	0	0	0.999
STUB1	HSPA8	0	0	0	0	0	0	0	0	0	0	0.999
STUB1	HSPA4	0	0	0	0	0	0	0	0	0	0	0.999
STUB1	HSP90AA1	0	0	0	0	0	0	0	0	0	0	0.999
STUB1	UBE2D2	0	0	0	0	0	0	0	0	0	0	0.997
STUB1	ESR1	0	0	0	0	0	0	0	0	0	0	0.997
STUB1	ERBB2	0	0	0	0	0	0	0	0	0	0	0.994
STUB1	BAG1	0	0	0	0	0	0	0	0	0	0	0.993
STUB1	ATXN3	0	0	0	0	0	0	0	0	0	0	0.99
