#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1C	CACNB2	0	0	0	0	0	0	0	0	0	0	0.998
CACNA1C	CALM3	0	0	0	0	0	0	0	0	0	0	0.995
CACNA1C	CALM2	0	0	0	0	0	0	0	0	0	0	0.993
CACNA1C	CACNA2D1	0	0	0	0	0	0	0	0	0	0	0.992
CACNA1C	CACNB3	0	0	0	0	0	0	0	0	0	0	0.992
CACNA1C	ADRB2	0	0	0	0	0	0	0	0	0	0	0.989
CACNA1C	AKAP5	0	0	0	0	0	0	0	0	0	0	0.987
CACNA1C	CALM1	0	0	0	0	0	0	0	0	0	0	0.986
CACNA1C	RYR2	0	0	0	0	0	0	0	0	0	0	0.986
CACNA1C	CAV3	0	0	0	0	0	0	0	0	0	0	0.982
