#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GIT1	PXN	0	0	0	0	0	0	0	0	0	0	0.999
GIT1	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.999
GIT1	ARHGEF6	0	0	0	0	0	0	0	0	0	0	0.998
GIT1	ADRBK1	0	0	0	0	0	0	0	0	0	0	0.995
GIT1	PAK1	0	0	0	0	0	0	0	0	0	0	0.988
GIT1	ARF6	0	0	0	0	0	0	0	0	0	0	0.986
GIT1	NCK2	0	0	0	0	0	0	0	0	0	0	0.983
GIT1	CDC42	0	0	0	0	0	0	0	0	0	0	0.976
GIT1	NCK1	0	0	0	0	0	0	0	0	0	0	0.974
GIT1	PPFIA1	0	0	0	0	0	0	0	0	0	0	0.959
