#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DUSP1	MAPK14	0	0	0	0	0	0	0	0	0	0	0.998
DUSP1	MAPK1	0	0	0	0	0	0	0	0	0	0	0.996
DUSP1	MAPK3	0	0	0	0	0	0	0	0	0	0	0.994
DUSP1	MAPK8	0	0	0	0	0	0	0	0	0	0	0.974
DUSP1	FOS	0	0	0	0	0	0	0	0	0	0	0.962
DUSP1	MAPK12	0	0	0	0	0	0	0	0	0	0	0.959
DUSP1	NR3C1	0	0	0	0	0	0	0	0	0	0	0.958
DUSP1	MAPK11	0	0	0	0	0	0	0	0	0	0	0.953
DUSP1	HSPA1A	0	0	0	0	0	0	0	0	0	0	0.935
DUSP1	ZFP36	0	0	0	0	0	0	0	0	0	0	0.934
