#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UBE2N	STUB1	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	OTUB1	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	UBA1	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	UBE2V2	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	UBE2V1	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	UBC	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	RNF8	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	TRAF6	0	0	0	0	0	0	0	0	0	0	0.999
UBE2N	RNF168	0	0	0	0	0	0	0	0	0	0	0.998
UBE2N	RPS27A	0	0	0	0	0	0	0	0	0	0	0.998
