#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLG1	LLGL1	9606.ENSP00000345731	9606.ENSP00000321537	0	0	0	0	0	0.050	0.900	0.764	0.975
DLG1	GRIN2A	9606.ENSP00000345731	9606.ENSP00000332549	0	0	0	0	0.042	0.506	0.500	0.923	0.979
DLG1	NBEA	9606.ENSP00000345731	9606.ENSP00000383295	0	0	0	0	0.068	0.045	0	0.464	0.481
DLG1	SYNGAP1	9606.ENSP00000345731	9606.ENSP00000496007	0	0	0	0	0	0.152	0	0.616	0.660
DLG1	LRFN2	9606.ENSP00000345731	9606.ENSP00000345985	0	0	0	0	0.055	0.143	0.500	0.860	0.935
DLG1	DLG4	9606.ENSP00000345731	9606.ENSP00000497806	0	0	0.053	0.973	0	0.138	0.800	0.764	0.956
DLG1	DLG2	9606.ENSP00000345731	9606.ENSP00000365272	0	0	0.054	0.969	0	0	0.900	0.637	0.962
DLG1	DLG3	9606.ENSP00000345731	9606.ENSP00000363480	0	0	0.056	0.966	0.057	0.606	0.900	0.396	0.974
DLG1	GRIN2B	9606.ENSP00000345731	9606.ENSP00000477455	0	0	0	0	0	0.593	0.400	0.970	0.992
DLG2	LLGL1	9606.ENSP00000365272	9606.ENSP00000321537	0	0	0	0	0	0.050	0.800	0.228	0.840
DLG2	GRIN2A	9606.ENSP00000365272	9606.ENSP00000332549	0	0	0	0	0.115	0.278	0.500	0.992	0.997
DLG2	DLG3	9606.ENSP00000365272	9606.ENSP00000363480	0	0	0.055	0.965	0.061	0.217	0.900	0.815	0.984
DLG2	SYNGAP1	9606.ENSP00000365272	9606.ENSP00000496007	0	0	0	0	0	0.152	0	0.869	0.884
DLG2	DLG4	9606.ENSP00000365272	9606.ENSP00000497806	0	0	0.056	0.966	0.087	0.386	0.400	0.918	0.969
DLG2	GRIN2B	9606.ENSP00000365272	9606.ENSP00000477455	0	0	0	0	0.109	0.506	0.400	0.988	0.996
DLG3	LLGL1	9606.ENSP00000363480	9606.ENSP00000321537	0	0	0	0	0	0.050	0.800	0.706	0.939
DLG3	GRIN2A	9606.ENSP00000363480	9606.ENSP00000332549	0	0	0	0	0	0.506	0.500	0.995	0.998
DLG3	LRFN2	9606.ENSP00000363480	9606.ENSP00000345985	0	0	0	0	0.075	0.143	0.500	0.876	0.944
DLG3	SYNGAP1	9606.ENSP00000363480	9606.ENSP00000496007	0	0	0	0	0.042	0.379	0	0.917	0.946
DLG3	NEDD4	9606.ENSP00000363480	9606.ENSP00000424827	0	0	0	0	0.047	0.095	0.900	0.450	0.946
DLG3	NBEA	9606.ENSP00000363480	9606.ENSP00000383295	0	0	0	0	0.076	0.169	0.900	0.581	0.963
DLG3	DLG4	9606.ENSP00000363480	9606.ENSP00000497806	0	0	0.057	0.965	0	0.547	0.900	0.955	0.997
DLG3	GRIN2B	9606.ENSP00000363480	9606.ENSP00000477455	0	0	0	0	0	0.739	0.400	0.994	0.998
DLG4	LLGL1	9606.ENSP00000497806	9606.ENSP00000321537	0	0	0	0	0.085	0.900	0.800	0.216	0.983
DLG4	GRIN2A	9606.ENSP00000497806	9606.ENSP00000332549	0	0	0	0	0.083	0.908	0.900	0.998	0.999
DLG4	LRFN2	9606.ENSP00000497806	9606.ENSP00000345985	0	0	0	0	0.139	0.297	0.500	0.881	0.959
DLG4	GRIN2B	9606.ENSP00000497806	9606.ENSP00000477455	0	0	0	0	0.067	0.918	0.900	0.999	0.999
DLG4	SYNGAP1	9606.ENSP00000497806	9606.ENSP00000496007	0	0	0	0	0.183	0.307	0	0.995	0.996
GRIN2A	SYNGAP1	9606.ENSP00000332549	9606.ENSP00000496007	0	0	0	0	0.086	0.240	0	0.552	0.662
GRIN2A	LRFN2	9606.ENSP00000332549	9606.ENSP00000345985	0	0	0	0	0.161	0.095	0.500	0.542	0.802
GRIN2A	GRIN2B	9606.ENSP00000332549	9606.ENSP00000477455	0	0	0	0.943	0.204	0.910	0.900	0.983	0.999
GRIN2B	LRFN2	9606.ENSP00000477455	9606.ENSP00000345985	0	0	0	0	0.164	0.095	0.500	0.266	0.685
GRIN2B	SYNGAP1	9606.ENSP00000477455	9606.ENSP00000496007	0	0	0	0	0.084	0.289	0	0.910	0.936
