#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TJAP1	DLG2	0	0	0	0	0	0	0	0	0	0	0.978
TJAP1	TJP1	0	0	0	0	0	0	0	0	0	0	0.951
TJAP1	DLG3	0	0	0	0	0	0	0	0	0	0	0.911
TJAP1	DXO	0	0	0	0	0	0	0	0	0	0	0.905
TJAP1	MPP2	0	0	0	0	0	0	0	0	0	0	0.849
TJAP1	DNASE1L2	0	0	0	0	0	0	0	0	0	0	0.766
TJAP1	XRN2	0	0	0	0	0	0	0	0	0	0	0.736
TJAP1	SMG6	0	0	0	0	0	0	0	0	0	0	0.707
TJAP1	SYMPK	0	0	0	0	0	0	0	0	0	0	0.677
TJAP1	F11R	0	0	0	0	0	0	0	0	0	0	0.668
