#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SDC2	SDCBP	0	0	0	0	0	0	0	0	0	0	0.999
SDC2	NF1	0	0	0	0	0	0	0	0	0	0	0.996
SDC2	CASK	0	0	0	0	0	0	0	0	0	0	0.995
SDC2	FN1	0	0	0	0	0	0	0	0	0	0	0.992
SDC2	TRAPPC4	0	0	0	0	0	0	0	0	0	0	0.991
SDC2	EPHB2	0	0	0	0	0	0	0	0	0	0	0.981
SDC2	CAV2	0	0	0	0	0	0	0	0	0	0	0.97
SDC2	RASA1	0	0	0	0	0	0	0	0	0	0	0.97
SDC2	GLCE	0	0	0	0	0	0	0	0	0	0	0.969
SDC2	EPB41	0	0	0	0	0	0	0	0	0	0	0.966
