#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNG2	GRIN3B	9606.ENSP00000300105	9606.ENSP00000234389	0	0	0	0	0.046	0	0.720	0.466	0.845
CACNG2	GRIN2D	9606.ENSP00000300105	9606.ENSP00000263269	0	0	0	0	0.060	0	0.720	0.285	0.795
CACNG2	CACNG8	9606.ENSP00000300105	9606.ENSP00000270458	0	0	0.052	0.948	0.086	0	0.720	0.085	0.748
CACNG2	CNIH3	9606.ENSP00000300105	9606.ENSP00000272133	0	0	0	0	0.060	0	0.720	0.420	0.834
CACNG2	GRIN2C	9606.ENSP00000300105	9606.ENSP00000293190	0	0	0	0	0.094	0	0.720	0.338	0.817
CACNG2	PICK1	9606.ENSP00000300105	9606.ENSP00000385205	0	0	0	0	0.043	0	0	0.677	0.677
CACNG2	PRKACB	9606.ENSP00000300105	9606.ENSP00000359719	0	0	0	0	0	0	0.650	0.250	0.726
CACNG2	GRIP1	9606.ENSP00000300105	9606.ENSP00000381098	0	0	0	0	0.044	0	0	0.744	0.744
CACNG2	CAMK2A	9606.ENSP00000300105	9606.ENSP00000500386	0	0	0	0	0.123	0	0.650	0.425	0.808
CACNG2	GRIN3A	9606.ENSP00000300105	9606.ENSP00000355155	0	0	0	0	0.053	0	0.720	0.487	0.852
CACNG2	CNIH2	9606.ENSP00000300105	9606.ENSP00000310003	0	0	0	0	0.085	0	0.720	0.664	0.906
CACNG8	GRIN3B	9606.ENSP00000270458	9606.ENSP00000234389	0	0	0	0	0.042	0	0.720	0.173	0.758
CACNG8	GRIN2D	9606.ENSP00000270458	9606.ENSP00000263269	0	0	0	0	0.076	0	0.720	0.212	0.778
CACNG8	PRKACB	9606.ENSP00000270458	9606.ENSP00000359719	0	0	0	0	0	0	0.650	0	0.650
CACNG8	GRIN3A	9606.ENSP00000270458	9606.ENSP00000355155	0	0	0	0	0.042	0	0.720	0.120	0.743
CACNG8	GRIN2C	9606.ENSP00000270458	9606.ENSP00000293190	0	0	0	0	0.092	0	0.720	0.135	0.761
CACNG8	CAMK2A	9606.ENSP00000270458	9606.ENSP00000500386	0	0	0	0	0.151	0.067	0.650	0.307	0.782
CACNG8	CNIH3	9606.ENSP00000270458	9606.ENSP00000272133	0	0	0	0	0.067	0.502	0.720	0.441	0.917
CACNG8	CNIH2	9606.ENSP00000270458	9606.ENSP00000310003	0	0	0	0	0.126	0.632	0.720	0.907	0.990
CALM3	GRIN2D	9606.ENSP00000291295	9606.ENSP00000263269	0	0	0	0	0.047	0.060	0.650	0.312	0.755
CALM3	GNAQ	9606.ENSP00000291295	9606.ENSP00000286548	0	0	0	0	0.067	0	0	0.582	0.593
CALM3	GRIN3A	9606.ENSP00000291295	9606.ENSP00000355155	0	0	0	0	0	0.060	0	0.506	0.515
CALM3	PICK1	9606.ENSP00000291295	9606.ENSP00000385205	0	0	0	0	0	0.091	0	0.596	0.617
CALM3	GRIN2C	9606.ENSP00000291295	9606.ENSP00000293190	0	0	0	0	0.072	0.060	0.650	0.303	0.758
CALM3	PRKACB	9606.ENSP00000291295	9606.ENSP00000359719	0	0	0	0	0.055	0	0.650	0.970	0.989
CALM3	CALML4	9606.ENSP00000291295	9606.ENSP00000419081	0	0	0.072	0.920	0	0	0.900	0.969	0.996
CALM3	CALML3	9606.ENSP00000291295	9606.ENSP00000315299	0	0	0.050	0.981	0	0	0.900	0.968	0.996
CALM3	CAMK2A	9606.ENSP00000291295	9606.ENSP00000500386	0	0	0	0	0.081	0.967	0.900	0.993	0.999
CALML3	GRIN2D	9606.ENSP00000315299	9606.ENSP00000263269	0	0	0	0	0.044	0.060	0.650	0.273	0.740
CALML3	GNAQ	9606.ENSP00000315299	9606.ENSP00000286548	0	0	0	0	0	0	0	0.581	0.581
CALML3	GRIN2C	9606.ENSP00000315299	9606.ENSP00000293190	0	0	0	0	0	0.060	0.650	0.277	0.741
CALML3	PICK1	9606.ENSP00000315299	9606.ENSP00000385205	0	0	0	0	0	0.091	0	0.595	0.616
CALML3	CALML4	9606.ENSP00000315299	9606.ENSP00000419081	0	0	0.081	0.898	0	0	0.900	0.632	0.963
CALML3	PRKACB	9606.ENSP00000315299	9606.ENSP00000359719	0	0	0	0	0.055	0	0.650	0.971	0.989
CALML3	CAMK2A	9606.ENSP00000315299	9606.ENSP00000500386	0	0	0	0	0.056	0.445	0.900	0.993	0.999
CALML4	GRIN2D	9606.ENSP00000419081	9606.ENSP00000263269	0	0	0	0	0	0.060	0.650	0.274	0.740
CALML4	GNAQ	9606.ENSP00000419081	9606.ENSP00000286548	0	0	0	0	0	0	0	0.570	0.570
CALML4	GRIN2C	9606.ENSP00000419081	9606.ENSP00000293190	0	0	0	0	0	0.060	0.650	0.276	0.741
CALML4	PRKACB	9606.ENSP00000419081	9606.ENSP00000359719	0	0	0	0	0	0	0.650	0.971	0.989
CALML4	PICK1	9606.ENSP00000419081	9606.ENSP00000385205	0	0	0	0	0	0.091	0	0.592	0.613
CALML4	CAMK2A	9606.ENSP00000419081	9606.ENSP00000500386	0	0	0	0	0	0.254	0.900	0.993	0.999
CAMK2A	GRIN2D	9606.ENSP00000500386	9606.ENSP00000263269	0	0	0	0	0.083	0.092	0.400	0.306	0.607
CAMK2A	GRIN2C	9606.ENSP00000500386	9606.ENSP00000293190	0	0	0	0	0.181	0.092	0.500	0.372	0.735
CAMK2A	GRIP1	9606.ENSP00000500386	9606.ENSP00000381098	0	0	0	0	0	0.058	0	0.433	0.443
CAMK2A	PICK1	9606.ENSP00000500386	9606.ENSP00000385205	0	0	0	0	0	0	0	0.725	0.725
CNIH2	GRIN3B	9606.ENSP00000310003	9606.ENSP00000234389	0	0	0	0	0.062	0	0.720	0.112	0.746
