#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM22	ADAM23	9606.ENSP00000265727	9606.ENSP00000264377	0	0	0.056	0.923	0.085	0.126	0.400	0.896	0.944
ADAM22	CNTNAP2	9606.ENSP00000265727	9606.ENSP00000354778	0	0	0	0	0.104	0	0	0.852	0.861
ADAM22	ADAM28	9606.ENSP00000265727	9606.ENSP00000265769	0	0	0	0.729	0	0.126	0	0.888	0.897
ADAM22	LGI2	9606.ENSP00000265727	9606.ENSP00000371548	0	0	0	0	0.082	0	0.700	0.694	0.908
ADAM22	DLG2	9606.ENSP00000265727	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.899	0.912
ADAM22	LGI3	9606.ENSP00000265727	9606.ENSP00000302297	0	0	0	0	0.109	0	0.500	0.842	0.923
ADAM22	CACNG2	9606.ENSP00000265727	9606.ENSP00000300105	0	0	0	0	0.081	0	0.500	0.874	0.937
ADAM22	LGI4	9606.ENSP00000265727	9606.ENSP00000312273	0	0	0	0	0.086	0	0.500	0.886	0.943
ADAM22	DLG4	9606.ENSP00000265727	9606.ENSP00000497806	0	0	0	0	0.106	0.331	0.800	0.981	0.997
ADAM22	LGI1	9606.ENSP00000265727	9606.ENSP00000360472	0	0	0	0	0.061	0.939	0.500	0.999	0.999
ADAM23	CNTNAP2	9606.ENSP00000264377	9606.ENSP00000354778	0	0	0	0	0.080	0	0	0.507	0.527
ADAM23	DLG2	9606.ENSP00000264377	9606.ENSP00000365272	0	0	0	0	0.087	0.091	0	0.500	0.549
ADAM23	CACNG2	9606.ENSP00000264377	9606.ENSP00000300105	0	0	0	0	0.059	0	0.500	0.461	0.724
ADAM23	LGI4	9606.ENSP00000264377	9606.ENSP00000312273	0	0	0	0	0.080	0	0.500	0.590	0.795
ADAM23	DLG4	9606.ENSP00000264377	9606.ENSP00000497806	0	0	0	0	0.090	0.091	0.500	0.597	0.811
ADAM23	LGI2	9606.ENSP00000264377	9606.ENSP00000371548	0	0	0	0	0.081	0	0.700	0.729	0.918
ADAM23	LGI3	9606.ENSP00000264377	9606.ENSP00000302297	0	0	0	0	0.099	0	0.500	0.850	0.926
ADAM23	LGI1	9606.ENSP00000264377	9606.ENSP00000360472	0	0	0	0	0.044	0.045	0.500	0.996	0.997
ADAM28	LGI4	9606.ENSP00000265769	9606.ENSP00000312273	0	0	0	0	0	0	0	0.431	0.431
ADAM28	CNTNAP2	9606.ENSP00000265769	9606.ENSP00000354778	0	0	0	0	0.054	0	0	0.447	0.454
ADAM28	DLG2	9606.ENSP00000265769	9606.ENSP00000365272	0	0	0	0	0.051	0.091	0	0.471	0.504
ADAM28	LGI2	9606.ENSP00000265769	9606.ENSP00000371548	0	0	0	0	0.044	0	0	0.566	0.568
ADAM28	DLG4	9606.ENSP00000265769	9606.ENSP00000497806	0	0	0	0	0.049	0.091	0	0.570	0.595
ADAM28	LGI3	9606.ENSP00000265769	9606.ENSP00000302297	0	0	0	0	0.043	0	0	0.688	0.688
ADAM28	LGI1	9606.ENSP00000265769	9606.ENSP00000360472	0	0	0	0	0	0.045	0	0.994	0.994
CACNG2	DLG2	9606.ENSP00000300105	9606.ENSP00000365272	0	0	0	0	0.086	0.043	0	0.772	0.783
CACNG2	LGI1	9606.ENSP00000300105	9606.ENSP00000360472	0	0	0	0	0.102	0	0.500	0.810	0.907
CACNG2	DLG4	9606.ENSP00000300105	9606.ENSP00000497806	0	0	0	0	0.062	0.514	0.540	0.998	0.999
