#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
WIPF1	WASL	0	0	0	0	0	0	0	0	0	0	0.999
WIPF1	WAS	0	0	0	0	0	0	0	0	0	0	0.999
WIPF1	NCK1	0	0	0	0	0	0	0	0	0	0	0.998
WIPF1	GRB2	0	0	0	0	0	0	0	0	0	0	0.962
WIPF1	NCK2	0	0	0	0	0	0	0	0	0	0	0.958
WIPF1	CTTN	0	0	0	0	0	0	0	0	0	0	0.956
WIPF1	SYK	0	0	0	0	0	0	0	0	0	0	0.941
WIPF1	BTK	0	0	0	0	0	0	0	0	0	0	0.932
WIPF1	LYN	0	0	0	0	0	0	0	0	0	0	0.922
WIPF1	ACTR2	0	0	0	0	0	0	0	0	0	0	0.913
