#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM12	ADAM28	9606.ENSP00000357668	9606.ENSP00000265769	0	0	0.076	0.819	0.044	0.105	0	0.394	0.457
ADAM12	ITGB1	9606.ENSP00000357668	9606.ENSP00000379350	0	0	0	0	0.091	0	0	0.459	0.487
ADAM22	KCNA1	9606.ENSP00000265727	9606.ENSP00000371985	0	0	0	0	0.161	0	0	0.823	0.845
ADAM22	ADAM28	9606.ENSP00000265727	9606.ENSP00000265769	0	0	0	0.729	0	0.126	0	0.888	0.897
ADAM22	LGI2	9606.ENSP00000265727	9606.ENSP00000371548	0	0	0	0	0.082	0	0.700	0.694	0.908
ADAM22	DLG2	9606.ENSP00000265727	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.899	0.912
ADAM22	LGI3	9606.ENSP00000265727	9606.ENSP00000302297	0	0	0	0	0.109	0	0.500	0.842	0.923
ADAM22	DLG4	9606.ENSP00000265727	9606.ENSP00000497806	0	0	0	0	0.106	0.331	0.800	0.981	0.997
ADAM22	LGI1	9606.ENSP00000265727	9606.ENSP00000360472	0	0	0	0	0.061	0.939	0.500	0.999	0.999
ADAM28	ITGB1	9606.ENSP00000265769	9606.ENSP00000379350	0	0	0	0	0.060	0	0	0.451	0.461
ADAM28	DLG2	9606.ENSP00000265769	9606.ENSP00000365272	0	0	0	0	0.051	0.091	0	0.471	0.504
ADAM28	LGI2	9606.ENSP00000265769	9606.ENSP00000371548	0	0	0	0	0.044	0	0	0.566	0.568
ADAM28	ITGA4	9606.ENSP00000265769	9606.ENSP00000380227	0	0	0	0	0.074	0	0	0.569	0.583
ADAM28	DLG4	9606.ENSP00000265769	9606.ENSP00000497806	0	0	0	0	0.049	0.091	0	0.570	0.595
ADAM28	KCNA1	9606.ENSP00000265769	9606.ENSP00000371985	0	0	0	0	0.055	0	0	0.637	0.642
ADAM28	LGI3	9606.ENSP00000265769	9606.ENSP00000302297	0	0	0	0	0.043	0	0	0.688	0.688
ADAM28	LGI1	9606.ENSP00000265769	9606.ENSP00000360472	0	0	0	0	0	0.045	0	0.994	0.994
DLG2	LGI3	9606.ENSP00000365272	9606.ENSP00000302297	0	0	0	0	0.141	0.054	0	0.384	0.455
DLG2	KCNA1	9606.ENSP00000365272	9606.ENSP00000371985	0	0	0	0	0.155	0.261	0	0.605	0.731
DLG2	DLG4	9606.ENSP00000365272	9606.ENSP00000497806	0	0	0.056	0.966	0.087	0.386	0.400	0.918	0.969
DLG4	LGI1	9606.ENSP00000497806	9606.ENSP00000360472	0	0	0	0	0	0.342	0.500	0.904	0.965
DLG4	KCNA1	9606.ENSP00000497806	9606.ENSP00000371985	0	0	0	0	0.132	0.646	0	0.695	0.898
ITGA4	ITGB1	9606.ENSP00000380227	9606.ENSP00000379350	0	0	0	0	0.084	0.749	0.900	0.998	0.999
KCNA1	LGI1	9606.ENSP00000371985	9606.ENSP00000360472	0	0	0	0	0.131	0	0	0.989	0.990
LGI1	LGI3	9606.ENSP00000360472	9606.ENSP00000302297	0	0	0.057	0.954	0.136	0	0	0.419	0.485
