#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIN3A	DLG4	0	0	0	0	0	0	0	0	0	0	0.981
GRIN3A	GRIN1	0	0	0	0	0	0	0	0	0	0	0.967
GRIN3A	PACSIN1	0	0	0	0	0	0	0	0	0	0	0.949
GRIN3A	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.946
GRIN3A	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.944
GRIN3A	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.935
GRIN3A	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.935
GRIN3A	PDYN	0	0	0	0	0	0	0	0	0	0	0.847
GRIN3A	CACNG2	0	0	0	0	0	0	0	0	0	0	0.825
GRIN3A	GRIA1	0	0	0	0	0	0	0	0	0	0	0.822
