#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADRBK1	GNAQ	0	0	0	0	0	0	0	0	0	0	0.999
ADRBK1	GNB1	0	0	0	0	0	0	0	0	0	0	0.995
ADRBK1	GIT1	0	0	0	0	0	0	0	0	0	0	0.995
ADRBK1	ADRB2	0	0	0	0	0	0	0	0	0	0	0.994
ADRBK1	ARRB2	0	0	0	0	0	0	0	0	0	0	0.992
ADRBK1	PEBP1	0	0	0	0	0	0	0	0	0	0	0.987
ADRBK1	GNG2	0	0	0	0	0	0	0	0	0	0	0.985
ADRBK1	DRD2	0	0	0	0	0	0	0	0	0	0	0.985
ADRBK1	PTCH1	0	0	0	0	0	0	0	0	0	0	0.985
ADRBK1	ARRB1	0	0	0	0	0	0	0	0	0	0	0.983
