#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIN2D	DLG4	0	0	0	0	0	0	0	0	0	0	0.972
GRIN2D	GRIN1	0	0	0	0	0	0	0	0	0	0	0.963
GRIN2D	GRIN3A	0	0	0	0	0	0	0	0	0	0	0.935
GRIN2D	GRIA2	0	0	0	0	0	0	0	0	0	0	0.931
GRIN2D	HRAS	0	0	0	0	0	0	0	0	0	0	0.927
GRIN2D	SRC	0	0	0	0	0	0	0	0	0	0	0.92
GRIN2D	KRAS	0	0	0	0	0	0	0	0	0	0	0.915
GRIN2D	NRAS	0	0	0	0	0	0	0	0	0	0	0.912
GRIN2D	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.911
GRIN2D	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.911
