#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1A	CACNG1	9606.ENSP00000489829	9606.ENSP00000226021	0	0	0	0	0.059	0.402	0.540	0.614	0.886
CACNA1A	CACNA1C	9606.ENSP00000489829	9606.ENSP00000266376	0	0	0.099	0.854	0.078	0.109	0.900	0.458	0.952
CACNA1A	CACNA1D	9606.ENSP00000489829	9606.ENSP00000288139	0	0	0.103	0.852	0.116	0.097	0.540	0.161	0.673
CACNA1A	CACNB2	9606.ENSP00000489829	9606.ENSP00000320025	0	0	0	0	0.108	0.527	0.540	0.795	0.955
CACNA1A	CACNA1G	9606.ENSP00000489829	9606.ENSP00000352011	0	0	0	0.610	0.139	0.189	0.540	0.391	0.778
CACNA1A	CACNA1E	9606.ENSP00000489829	9606.ENSP00000356545	0	0	0.059	0.952	0.166	0	0.900	0.442	0.950
CACNA1A	CACNA1B	9606.ENSP00000489829	9606.ENSP00000360423	0	0	0.057	0.961	0.155	0	0.900	0.396	0.945
CACNA1A	CACNB1	9606.ENSP00000489829	9606.ENSP00000377840	0	0	0	0	0.072	0.291	0.540	0.764	0.919
CACNA1A	CACNA2D2	9606.ENSP00000489829	9606.ENSP00000418081	0	0	0	0	0.067	0.289	0.800	0.886	0.982
CACNA1A	CACNB4	9606.ENSP00000489829	9606.ENSP00000438949	0	0	0	0	0.178	0.637	0.800	0.928	0.995
CACNA1B	CACNG1	9606.ENSP00000360423	9606.ENSP00000226021	0	0	0	0	0.059	0.402	0.540	0.577	0.875
CACNA1B	CACNA1C	9606.ENSP00000360423	9606.ENSP00000266376	0	0	0.099	0.857	0.091	0.109	0.540	0.387	0.756
CACNA1B	CACNA1D	9606.ENSP00000360423	9606.ENSP00000288139	0	0	0.101	0.853	0.053	0.097	0.540	0.455	0.772
CACNA1B	CACNB2	9606.ENSP00000360423	9606.ENSP00000320025	0	0	0	0	0.097	0.527	0.540	0.602	0.911
CACNA1B	CACNA1G	9606.ENSP00000360423	9606.ENSP00000352011	0	0	0	0.630	0.140	0.189	0.540	0.596	0.853
CACNA1B	CACNA1E	9606.ENSP00000360423	9606.ENSP00000356545	0	0	0.060	0.947	0.162	0	0.900	0.507	0.956
CACNA1B	CACNB4	9606.ENSP00000360423	9606.ENSP00000438949	0	0	0	0	0.123	0.291	0.540	0.647	0.885
CACNA1B	CACNA2D2	9606.ENSP00000360423	9606.ENSP00000418081	0	0	0	0	0.110	0.289	0.540	0.793	0.931
CACNA1B	CACNB1	9606.ENSP00000360423	9606.ENSP00000377840	0	0	0	0	0.098	0.926	0.540	0.499	0.982
CACNA1C	CACNG1	9606.ENSP00000266376	9606.ENSP00000226021	0	0	0	0	0.128	0.742	0.720	0.306	0.950
CACNA1C	CACNA1E	9606.ENSP00000266376	9606.ENSP00000356545	0	0	0.095	0.850	0.067	0.092	0.540	0.168	0.653
CACNA1C	CACNA1G	9606.ENSP00000266376	9606.ENSP00000352011	0	0	0	0.618	0.103	0.189	0.540	0.596	0.846
CACNA1C	CACNB4	9606.ENSP00000266376	9606.ENSP00000438949	0	0	0	0	0.068	0.412	0.900	0.523	0.970
CACNA1C	CACNA1D	9606.ENSP00000266376	9606.ENSP00000288139	0	0	0.057	0.966	0	0.522	0.900	0.640	0.981
CACNA1C	CACNA2D2	9606.ENSP00000266376	9606.ENSP00000418081	0	0	0	0	0.104	0.439	0.800	0.842	0.982
CACNA1C	CACNB1	9606.ENSP00000266376	9606.ENSP00000377840	0	0	0	0	0.087	0.817	0.540	0.865	0.988
CACNA1C	CACNB2	9606.ENSP00000266376	9606.ENSP00000320025	0	0	0	0	0.162	0.887	0.720	0.986	0.999
CACNA1D	CACNG1	9606.ENSP00000288139	9606.ENSP00000226021	0	0	0	0	0.128	0.742	0.720	0.935	0.995
CACNA1D	CACNA1E	9606.ENSP00000288139	9606.ENSP00000356545	0	0	0.097	0.843	0	0.092	0.540	0.502	0.787
CACNA1D	CACNA1G	9606.ENSP00000288139	9606.ENSP00000352011	0	0	0	0.622	0.074	0.189	0.540	0.622	0.852
CACNA1D	CACNB4	9606.ENSP00000288139	9606.ENSP00000438949	0	0	0	0	0.092	0.412	0.900	0.430	0.965
CACNA1D	CACNA2D2	9606.ENSP00000288139	9606.ENSP00000418081	0	0	0	0	0.111	0.439	0.800	0.744	0.971
CACNA1D	CACNB1	9606.ENSP00000288139	9606.ENSP00000377840	0	0	0	0	0.067	0.753	0.540	0.924	0.990
CACNA1D	CACNB2	9606.ENSP00000288139	9606.ENSP00000320025	0	0	0	0	0.093	0.811	0.800	0.939	0.997
CACNA1E	CACNG1	9606.ENSP00000356545	9606.ENSP00000226021	0	0	0	0	0.059	0.402	0.540	0.510	0.856
CACNA1E	CACNB2	9606.ENSP00000356545	9606.ENSP00000320025	0	0	0	0	0.087	0.291	0.540	0.506	0.833
CACNA1E	CACNA1G	9606.ENSP00000356545	9606.ENSP00000352011	0	0	0	0.623	0.117	0.189	0.540	0.634	0.863
CACNA1E	CACNB4	9606.ENSP00000356545	9606.ENSP00000438949	0	0	0	0	0.155	0.291	0.540	0.411	0.816
CACNA1E	CACNB1	9606.ENSP00000356545	9606.ENSP00000377840	0	0	0	0	0.089	0.291	0.540	0.649	0.882
CACNA1E	CACNA2D2	9606.ENSP00000356545	9606.ENSP00000418081	0	0	0	0	0.087	0.289	0.800	0.799	0.970
CACNA1G	CACNG1	9606.ENSP00000352011	9606.ENSP00000226021	0	0	0	0	0.049	0	0.540	0.538	0.780
CACNA1G	CACNB2	9606.ENSP00000352011	9606.ENSP00000320025	0	0	0	0	0.060	0	0.540	0.502	0.766
CACNA1G	CACNB4	9606.ENSP00000352011	9606.ENSP00000438949	0	0	0	0	0.086	0	0.540	0.429	0.739
CACNA1G	CACNB1	9606.ENSP00000352011	9606.ENSP00000377840	0	0	0	0	0.067	0	0.540	0.527	0.779
CACNA1G	CACNA2D2	9606.ENSP00000352011	9606.ENSP00000418081	0	0	0	0	0.077	0	0.540	0.734	0.877
CACNA2D2	CACNG1	9606.ENSP00000418081	9606.ENSP00000226021	0	0	0	0	0	0.794	0.540	0.815	0.981
CACNA2D2	CACNB2	9606.ENSP00000418081	9606.ENSP00000320025	0	0	0	0	0.060	0.401	0.800	0.926	0.990
