#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TJP1	F11R	0	0	0	0	0	0	0	0	0	0	0.999
TJP1	OCLN	0	0	0	0	0	0	0	0	0	0	0.999
TJP1	CGN	0	0	0	0	0	0	0	0	0	0	0.999
TJP1	GJA1	0	0	0	0	0	0	0	0	0	0	0.999
TJP1	MLLT4	0	0	0	0	0	0	0	0	0	0	0.998
TJP1	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.998
TJP1	YBX3	0	0	0	0	0	0	0	0	0	0	0.998
TJP1	SRC	0	0	0	0	0	0	0	0	0	0	0.997
TJP1	JAM3	0	0	0	0	0	0	0	0	0	0	0.996
TJP1	CLDN2	0	0	0	0	0	0	0	0	0	0	0.996
