#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EPB41L1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.999
EPB41L1	AGAP2	0	0	0	0	0	0	0	0	0	0	0.98
EPB41L1	DLG1	0	0	0	0	0	0	0	0	0	0	0.978
EPB41L1	GRIA4	0	0	0	0	0	0	0	0	0	0	0.974
EPB41L1	DLG4	0	0	0	0	0	0	0	0	0	0	0.961
EPB41L1	SLC12A5	0	0	0	0	0	0	0	0	0	0	0.954
EPB41L1	CACNG2	0	0	0	0	0	0	0	0	0	0	0.953
EPB41L1	AKAP5	0	0	0	0	0	0	0	0	0	0	0.936
EPB41L1	GRIA3	0	0	0	0	0	0	0	0	0	0	0.933
EPB41L1	NGF	0	0	0	0	0	0	0	0	0	0	0.926
