#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIN2C	DLG4	0	0	0	0	0	0	0	0	0	0	0.984
GRIN2C	GRIN1	0	0	0	0	0	0	0	0	0	0	0.967
GRIN2C	NRG1	0	0	0	0	0	0	0	0	0	0	0.941
GRIN2C	GRIA2	0	0	0	0	0	0	0	0	0	0	0.94
GRIN2C	GRIN3A	0	0	0	0	0	0	0	0	0	0	0.935
GRIN2C	ERBB4	0	0	0	0	0	0	0	0	0	0	0.931
GRIN2C	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.927
GRIN2C	SRC	0	0	0	0	0	0	0	0	0	0	0.919
GRIN2C	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.914
GRIN2C	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.908
