#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ERBB3	NRG1	0	0	0	0	0	0	0	0	0	0	0.999
ERBB3	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.999
ERBB3	EGF	0	0	0	0	0	0	0	0	0	0	0.999
ERBB3	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
ERBB3	NRG2	0	0	0	0	0	0	0	0	0	0	0.999
ERBB3	SHC1	0	0	0	0	0	0	0	0	0	0	0.999
ERBB3	EGFR	0	0	0	0	0	0	0	0	0	0	0.997
ERBB3	PA2G4	0	0	0	0	0	0	0	0	0	0	0.995
ERBB3	RNF41	0	0	0	0	0	0	0	0	0	0	0.995
ERBB3	ERBB2	0	0	0	0	0	0	0	0	0	0	0.992
