#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNB3	CACNA1C	0	0	0	0	0	0	0	0	0	0	0.992
CACNB3	CACNA1D	0	0	0	0	0	0	0	0	0	0	0.987
CACNB3	CACNA2D4	0	0	0	0	0	0	0	0	0	0	0.984
CACNB3	CACNA1F	0	0	0	0	0	0	0	0	0	0	0.976
CACNB3	CACNA2D1	0	0	0	0	0	0	0	0	0	0	0.976
CACNB3	CACNA1B	0	0	0	0	0	0	0	0	0	0	0.974
CACNB3	CACNA1S	0	0	0	0	0	0	0	0	0	0	0.965
CACNB3	CACNG3	0	0	0	0	0	0	0	0	0	0	0.955
CACNB3	CACNB4	0	0	0	0	0	0	0	0	0	0	0.945
CACNB3	CACNA1E	0	0	0	0	0	0	0	0	0	0	0.941
