#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CRKL	RAPGEF1	0	0	0	0	0	0	0	0	0	0	0.999
CRKL	PXN	0	0	0	0	0	0	0	0	0	0	0.999
CRKL	CBL	0	0	0	0	0	0	0	0	0	0	0.999
CRKL	BCAR1	0	0	0	0	0	0	0	0	0	0	0.999
CRKL	NEDD9	0	0	0	0	0	0	0	0	0	0	0.997
CRKL	GAB1	0	0	0	0	0	0	0	0	0	0	0.993
CRKL	STAT5A	0	0	0	0	0	0	0	0	0	0	0.993
CRKL	DOCK1	0	0	0	0	0	0	0	0	0	0	0.992
CRKL	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.991
CRKL	STAT5B	0	0	0	0	0	0	0	0	0	0	0.989
