#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASPH	CASQ2	9606.ENSP00000368767	9606.ENSP00000261448	0	0	0	0	0.122	0	0.900	0.980	0.998
ASPH	CALM3	9606.ENSP00000368767	9606.ENSP00000291295	0	0	0	0	0	0	0	0.811	0.811
ASPH	TRDN	9606.ENSP00000368767	9606.ENSP00000333984	0	0	0	0	0.087	0	0.800	0.999	0.999
ASPH	JPH1	9606.ENSP00000368767	9606.ENSP00000344488	0	0	0	0	0.093	0	0	0.821	0.830
ASPH	RYR1	9606.ENSP00000368767	9606.ENSP00000352608	0	0	0	0	0.113	0	0.800	0.760	0.953
ASPH	RYR2	9606.ENSP00000368767	9606.ENSP00000355533	0	0	0	0	0.113	0	0.800	0.993	0.998
ASPH	CASQ1	9606.ENSP00000368767	9606.ENSP00000357057	0	0	0	0	0.122	0	0.900	0.982	0.998
ASPH	F10	9606.ENSP00000368767	9606.ENSP00000364709	0	0	0	0	0	0.900	0	0.203	0.916
ASPH	RYR3	9606.ENSP00000368767	9606.ENSP00000489262	0	0	0	0	0.113	0	0.800	0.433	0.890
ASPH	FKBP1B	9606.ENSP00000368767	9606.ENSP00000370373	0	0	0	0	0	0	0.500	0.907	0.951
CALM3	CASQ2	9606.ENSP00000291295	9606.ENSP00000261448	0	0	0	0	0	0.109	0	0.723	0.743
CALM3	CASQ1	9606.ENSP00000291295	9606.ENSP00000357057	0	0	0	0	0	0.109	0	0.377	0.421
CALM3	JPH1	9606.ENSP00000291295	9606.ENSP00000344488	0	0	0	0	0.059	0.096	0	0.564	0.597
CALM3	TRDN	9606.ENSP00000291295	9606.ENSP00000333984	0	0	0	0	0	0.109	0	0.949	0.952
CALM3	FKBP1B	9606.ENSP00000291295	9606.ENSP00000370373	0	0	0	0	0.240	0.854	0	0.889	0.986
CALM3	RYR3	9606.ENSP00000291295	9606.ENSP00000489262	0	0	0	0	0	0.938	0.900	0.505	0.996
CALM3	RYR1	9606.ENSP00000291295	9606.ENSP00000352608	0	0	0	0	0	0.938	0.900	0.979	0.999
CALM3	RYR2	9606.ENSP00000291295	9606.ENSP00000355533	0	0	0	0	0	0.938	0.900	0.994	0.999
CASQ1	CASQ2	9606.ENSP00000357057	9606.ENSP00000261448	0	0	0.055	0.970	0.159	0	0.900	0.062	0.915
CASQ1	TRDN	9606.ENSP00000357057	9606.ENSP00000333984	0	0	0	0	0.372	0.301	0.900	0.979	0.998
CASQ1	JPH1	9606.ENSP00000357057	9606.ENSP00000344488	0	0	0	0	0.155	0.094	0	0.692	0.744
CASQ1	RYR1	9606.ENSP00000357057	9606.ENSP00000352608	0	0	0	0	0.286	0.091	0.900	0.726	0.979
CASQ1	RYR2	9606.ENSP00000357057	9606.ENSP00000355533	0	0	0	0	0.129	0.091	0.900	0.642	0.967
CASQ1	RYR3	9606.ENSP00000357057	9606.ENSP00000489262	0	0	0	0	0.148	0.091	0.900	0.406	0.947
CASQ2	JPH1	9606.ENSP00000261448	9606.ENSP00000344488	0	0	0	0	0.141	0.094	0	0.340	0.441
CASQ2	FKBP1B	9606.ENSP00000261448	9606.ENSP00000370373	0	0	0	0	0	0.071	0	0.864	0.868
CASQ2	RYR3	9606.ENSP00000261448	9606.ENSP00000489262	0	0	0	0	0.181	0.091	0.900	0.433	0.952
CASQ2	RYR1	9606.ENSP00000261448	9606.ENSP00000352608	0	0	0	0	0.157	0.091	0.900	0.519	0.958
CASQ2	RYR2	9606.ENSP00000261448	9606.ENSP00000355533	0	0	0	0	0.144	0.091	0.900	0.987	0.998
CASQ2	TRDN	9606.ENSP00000261448	9606.ENSP00000333984	0	0	0	0	0.294	0.629	0.900	0.985	0.999
FKBP1B	TRDN	9606.ENSP00000370373	9606.ENSP00000333984	0	0	0	0	0.082	0.071	0.500	0.962	0.981
FKBP1B	RYR1	9606.ENSP00000370373	9606.ENSP00000352608	0	0	0	0	0	0.485	0.500	0.980	0.994
FKBP1B	RYR2	9606.ENSP00000370373	9606.ENSP00000355533	0	0	0	0	0	0.977	0.500	0.999	0.999
FKBP1B	RYR3	9606.ENSP00000370373	9606.ENSP00000489262	0	0	0	0	0	0.610	0.500	0.818	0.961
JPH1	TRDN	9606.ENSP00000344488	9606.ENSP00000333984	0	0	0	0	0.224	0.268	0.540	0.785	0.936
JPH1	RYR3	9606.ENSP00000344488	9606.ENSP00000489262	0	0	0	0	0.122	0	0	0.438	0.485
JPH1	RYR2	9606.ENSP00000344488	9606.ENSP00000355533	0	0	0	0	0.170	0	0	0.537	0.599
JPH1	RYR1	9606.ENSP00000344488	9606.ENSP00000352608	0	0	0	0	0.126	0	0	0.943	0.948
RYR1	TRDN	9606.ENSP00000352608	9606.ENSP00000333984	0	0	0	0	0.147	0.734	0.800	0.949	0.997
RYR1	RYR3	9606.ENSP00000352608	9606.ENSP00000489262	0	0	0.054	0.972	0.072	0.507	0.900	0.109	0.954
RYR1	RYR2	9606.ENSP00000352608	9606.ENSP00000355533	0	0	0.055	0.971	0.080	0.690	0.900	0.137	0.972
RYR2	TRDN	9606.ENSP00000355533	9606.ENSP00000333984	0	0	0	0	0.117	0.067	0.800	0.998	0.999
RYR2	RYR3	9606.ENSP00000355533	9606.ENSP00000489262	0	0	0.053	0.974	0.063	0.863	0.900	0.697	0.995
RYR3	TRDN	9606.ENSP00000489262	9606.ENSP00000333984	0	0	0	0	0.111	0.067	0.800	0.590	0.922
