#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0	0	0	0.420	0.680	0.900	0.602	0.991
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0	0	0.122	0.126	0.900	0.368	0.945
ACTB	MYL1	9606.ENSP00000494750	9606.ENSP00000307280	0	0	0	0	0.217	0.366	0	0.238	0.589
ACTB	MYH10	9606.ENSP00000494750	9606.ENSP00000353590	0	0	0	0	0.084	0.238	0.900	0.464	0.957
ACTB	MYH11	9606.ENSP00000494750	9606.ENSP00000379616	0	0	0	0	0.091	0.368	0.900	0.403	0.961
ACTB	PPP1R12A	9606.ENSP00000494750	9606.ENSP00000389168	0	0	0	0	0.049	0.210	0	0.395	0.506
ACTB	MYL6	9606.ENSP00000494750	9606.ENSP00000446955	0	0	0	0	0.286	0.314	0.900	0.529	0.973
ACTB	MYL6B	9606.ENSP00000494750	9606.ENSP00000450385	0	0	0	0	0.067	0.150	0.900	0.182	0.926
ACTB	MYL12B	9606.ENSP00000494750	9606.ENSP00000463559	0	0	0	0	0.187	0.354	0.900	0.376	0.962
MYH10	MYH9	9606.ENSP00000353590	9606.ENSP00000216181	0	0	0.051	0.979	0.056	0.666	0.900	0.592	0.985
MYH10	MYL9	9606.ENSP00000353590	9606.ENSP00000279022	0	0	0	0	0.116	0.869	0.900	0.720	0.996
MYH10	MYL1	9606.ENSP00000353590	9606.ENSP00000307280	0	0	0	0	0.303	0.471	0.720	0.325	0.921
MYH10	PPP1R12A	9606.ENSP00000353590	9606.ENSP00000389168	0	0	0	0	0.052	0.113	0.500	0.238	0.637
MYH10	MYH11	9606.ENSP00000353590	9606.ENSP00000379616	0	0	0.051	0.978	0.056	0	0.900	0.392	0.938
MYH10	MYL6B	9606.ENSP00000353590	9606.ENSP00000450385	0	0	0	0	0.097	0.713	0.900	0.319	0.980
MYH10	MYL12B	9606.ENSP00000353590	9606.ENSP00000463559	0	0	0	0	0.101	0.781	0.900	0.422	0.987
MYH10	MYL6	9606.ENSP00000353590	9606.ENSP00000446955	0	0	0	0	0.059	0.915	0.900	0.694	0.997
MYH11	MYH9	9606.ENSP00000379616	9606.ENSP00000216181	0	0	0.051	0.979	0.060	0	0.900	0.383	0.937
MYH11	MYL9	9606.ENSP00000379616	9606.ENSP00000279022	0	0	0	0	0.291	0.414	0.900	0.707	0.986
MYH11	MYL1	9606.ENSP00000379616	9606.ENSP00000307280	0	0	0	0	0.305	0.471	0.720	0.236	0.910
MYH11	PPP1R12A	9606.ENSP00000379616	9606.ENSP00000389168	0	0	0	0	0.048	0.113	0.500	0.284	0.657
MYH11	MYL6B	9606.ENSP00000379616	9606.ENSP00000450385	0	0	0	0	0.059	0.500	0.900	0.193	0.956
MYH11	MYL12B	9606.ENSP00000379616	9606.ENSP00000463559	0	0	0	0	0.101	0.567	0.900	0.289	0.968
MYH11	MYL6	9606.ENSP00000379616	9606.ENSP00000446955	0	0	0	0	0.079	0.678	0.900	0.462	0.981
MYH9	PPP1R12A	9606.ENSP00000216181	9606.ENSP00000389168	0	0	0	0	0.063	0.229	0.500	0.283	0.707
MYH9	MYL1	9606.ENSP00000216181	9606.ENSP00000307280	0	0	0	0	0.583	0.471	0.720	0.256	0.947
MYH9	MYL6B	9606.ENSP00000216181	9606.ENSP00000450385	0	0	0	0	0.059	0.668	0.900	0.289	0.974
MYH9	MYL9	9606.ENSP00000216181	9606.ENSP00000279022	0	0	0	0	0.160	0.766	0.900	0.549	0.990
MYH9	MYL6	9606.ENSP00000216181	9606.ENSP00000446955	0	0	0	0	0.545	0.890	0.900	0.737	0.998
MYH9	MYL12B	9606.ENSP00000216181	9606.ENSP00000463559	0	0	0	0	0.684	0.813	0.900	0.809	0.998
MYL1	MYL9	9606.ENSP00000307280	9606.ENSP00000279022	0	0	0	0.688	0.192	0.768	0.720	0.402	0.964
MYL1	MYL6B	9606.ENSP00000307280	9606.ENSP00000450385	0	0	0.057	0.965	0.056	0	0.720	0.071	0.737
MYL1	MYL6	9606.ENSP00000307280	9606.ENSP00000446955	0	0	0.052	0.973	0.663	0	0.540	0.065	0.844
MYL1	MYL12B	9606.ENSP00000307280	9606.ENSP00000463559	0	0	0	0.707	0.716	0.768	0.540	0.397	0.979
MYL12B	MYL9	9606.ENSP00000463559	9606.ENSP00000279022	0	0	0.048	0.984	0.044	0.616	0.900	0.052	0.960
MYL12B	MYLK3	9606.ENSP00000463559	9606.ENSP00000378288	0	0	0	0	0.067	0.129	0.900	0.657	0.968
MYL12B	PPP1R12A	9606.ENSP00000463559	9606.ENSP00000389168	0	0	0	0	0.066	0.104	0.900	0.756	0.976
MYL12B	MYL6	9606.ENSP00000463559	9606.ENSP00000446955	0	0	0	0.748	0.791	0.891	0.900	0.594	0.998
