#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DOCK1	CRK	0	0	0	0	0	0	0	0	0	0	0.999
DOCK1	ELMO1	0	0	0	0	0	0	0	0	0	0	0.999
DOCK1	BCAR1	0	0	0	0	0	0	0	0	0	0	0.999
DOCK1	RHOG	0	0	0	0	0	0	0	0	0	0	0.998
DOCK1	ELMO2	0	0	0	0	0	0	0	0	0	0	0.998
DOCK1	ELMO3	0	0	0	0	0	0	0	0	0	0	0.997
DOCK1	RAC1	0	0	0	0	0	0	0	0	0	0	0.995
DOCK1	CRKL	0	0	0	0	0	0	0	0	0	0	0.992
DOCK1	WDR35	0	0	0	0	0	0	0	0	0	0	0.976
DOCK1	SRC	0	0	0	0	0	0	0	0	0	0	0.975
