#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARHGEF7	SHANK1	9606.ENSP00000495631	9606.ENSP00000293441	0	0	0	0.551	0	0.926	0	0.434	0.957
ARHGEF7	DLGAP1	9606.ENSP00000495631	9606.ENSP00000316377	0	0	0	0	0.054	0	0	0.576	0.582
ARHGEF7	SHANK2	9606.ENSP00000495631	9606.ENSP00000345193	0	0	0	0	0.043	0.516	0	0.621	0.809
ARHGEF7	SHANK3	9606.ENSP00000495631	9606.ENSP00000489407	0	0	0	0.551	0.045	0.518	0	0.496	0.748
ARHGEF7	DLG4	9606.ENSP00000495631	9606.ENSP00000497806	0	0	0	0	0.097	0	0	0.370	0.406
DLG4	SHANK1	9606.ENSP00000497806	9606.ENSP00000293441	0	0	0	0	0.197	0.356	0.500	0.974	0.992
DLG4	HOMER2	9606.ENSP00000497806	9606.ENSP00000305632	0	0	0	0	0	0.052	0.500	0.573	0.779
DLG4	GRM5	9606.ENSP00000497806	9606.ENSP00000306138	0	0	0	0	0.134	0.053	0.500	0.790	0.902
DLG4	DLGAP1	9606.ENSP00000497806	9606.ENSP00000316377	0	0	0	0	0.092	0.984	0.500	0.998	0.999
DLG4	HOMER1	9606.ENSP00000497806	9606.ENSP00000334382	0	0	0	0	0	0.052	0.500	0.977	0.988
DLG4	SHANK2	9606.ENSP00000497806	9606.ENSP00000345193	0	0	0	0	0.056	0.522	0.500	0.973	0.993
DLG4	NLGN1	9606.ENSP00000497806	9606.ENSP00000392500	0	0	0	0	0.068	0.650	0.500	0.996	0.999
DLG4	HOMER3	9606.ENSP00000497806	9606.ENSP00000439937	0	0	0	0	0.074	0.052	0.500	0.736	0.868
DLG4	SHANK3	9606.ENSP00000497806	9606.ENSP00000489407	0	0	0	0	0.087	0.114	0.500	0.993	0.996
DLGAP1	SHANK1	9606.ENSP00000316377	9606.ENSP00000293441	0	0	0	0	0.167	0.727	0.500	0.975	0.996
DLGAP1	HOMER2	9606.ENSP00000316377	9606.ENSP00000305632	0	0	0	0	0.055	0.091	0.500	0.707	0.857
DLGAP1	GRM5	9606.ENSP00000316377	9606.ENSP00000306138	0	0	0	0	0.198	0	0.500	0.807	0.915
DLGAP1	NLGN1	9606.ENSP00000316377	9606.ENSP00000392500	0	0	0	0	0.147	0	0.500	0.842	0.927
DLGAP1	HOMER3	9606.ENSP00000316377	9606.ENSP00000439937	0	0	0	0	0.055	0.091	0.500	0.883	0.943
DLGAP1	SHANK2	9606.ENSP00000316377	9606.ENSP00000345193	0	0	0	0	0.083	0.557	0.500	0.920	0.981
DLGAP1	HOMER1	9606.ENSP00000316377	9606.ENSP00000334382	0	0	0	0	0.067	0.099	0.500	0.972	0.986
DLGAP1	SHANK3	9606.ENSP00000316377	9606.ENSP00000489407	0	0	0	0	0.060	0.657	0.500	0.985	0.997
GRM5	SHANK1	9606.ENSP00000306138	9606.ENSP00000293441	0	0	0	0	0.163	0.131	0.500	0.853	0.939
GRM5	HOMER2	9606.ENSP00000306138	9606.ENSP00000305632	0	0	0	0	0	0.096	0.500	0.930	0.965
GRM5	NLGN1	9606.ENSP00000306138	9606.ENSP00000392500	0	0	0	0	0.130	0	0.500	0.400	0.716
GRM5	SHANK2	9606.ENSP00000306138	9606.ENSP00000345193	0	0	0	0	0.084	0.067	0.500	0.731	0.869
