#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ITPR1	HTT	0	0	0	0	0	0	0	0	0	0	0.999
ITPR1	AHCYL1	0	0	0	0	0	0	0	0	0	0	0.996
ITPR1	ERP44	0	0	0	0	0	0	0	0	0	0	0.993
ITPR1	ATXN2	0	0	0	0	0	0	0	0	0	0	0.993
ITPR1	TRPC1	0	0	0	0	0	0	0	0	0	0	0.992
ITPR1	HSPA9	0	0	0	0	0	0	0	0	0	0	0.992
ITPR1	CYCS	0	0	0	0	0	0	0	0	0	0	0.992
ITPR1	VDAC1	0	0	0	0	0	0	0	0	0	0	0.992
ITPR1	STIM1	0	0	0	0	0	0	0	0	0	0	0.991
ITPR1	TRPC3	0	0	0	0	0	0	0	0	0	0	0.99
