#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDH1	ITGAE	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	CTNNA1	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	CTNND1	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	IQGAP1	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	MET	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	CBLL1	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	VCL	0	0	0	0	0	0	0	0	0	0	0.999
CDH1	JUP	0	0	0	0	0	0	0	0	0	0	0.999
