#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APBA1	LIN7B	9606.ENSP00000265381	9606.ENSP00000221459	0	0	0	0	0	0.456	0.500	0.747	0.925
APBA1	SDC2	9606.ENSP00000265381	9606.ENSP00000307046	0	0	0	0	0.042	0	0	0.415	0.415
APBA1	DLG1	9606.ENSP00000265381	9606.ENSP00000345731	0	0	0	0.550	0	0.419	0.500	0.221	0.754
APBA1	PPFIA2	9606.ENSP00000265381	9606.ENSP00000450337	0	0	0	0	0.143	0.095	0.500	0.452	0.759
APBA1	CASKIN1	9606.ENSP00000265381	9606.ENSP00000345436	0	0	0	0	0.098	0.063	0	0.827	0.841
APBA1	LIN7C	9606.ENSP00000265381	9606.ENSP00000278193	0	0	0	0	0	0.645	0.500	0.902	0.981
APBA1	LIN7A	9606.ENSP00000265381	9606.ENSP00000447488	0	0	0	0	0.067	0.218	0.500	0.980	0.992
APBA1	CASK	9606.ENSP00000265381	9606.ENSP00000494788	0	0	0	0	0.063	0.976	0.800	0.981	0.999
CASK	LIN7B	9606.ENSP00000494788	9606.ENSP00000221459	0	0	0	0	0	0.980	0.500	0.669	0.996
CASK	LIN7C	9606.ENSP00000494788	9606.ENSP00000278193	0	0	0	0	0.049	0.870	0.500	0.825	0.987
CASK	SDC2	9606.ENSP00000494788	9606.ENSP00000307046	0	0	0	0	0	0.510	0.700	0.788	0.966
CASK	CASKIN1	9606.ENSP00000494788	9606.ENSP00000345436	0	0	0	0	0.046	0.792	0	0.870	0.972
CASK	DLG1	9606.ENSP00000494788	9606.ENSP00000345731	0	0	0	0.582	0.068	0.853	0.500	0.743	0.980
CASK	WHRN	9606.ENSP00000494788	9606.ENSP00000354623	0	0	0	0	0	0.826	0.800	0.167	0.968
CASK	LIN7A	9606.ENSP00000494788	9606.ENSP00000447488	0	0	0	0	0	0.850	0.500	0.999	0.999
CASK	PPFIA2	9606.ENSP00000494788	9606.ENSP00000450337	0	0	0	0	0	0.906	0.500	0.434	0.971
CASK	EPS8	9606.ENSP00000494788	9606.ENSP00000494689	0	0	0	0	0.066	0.448	0.800	0.708	0.965
CASKIN1	SDC2	9606.ENSP00000345436	9606.ENSP00000307046	0	0	0	0	0	0.045	0	0.425	0.427
CASKIN1	PPFIA2	9606.ENSP00000345436	9606.ENSP00000450337	0	0	0	0	0.120	0	0	0.439	0.485
CASKIN1	LIN7A	9606.ENSP00000345436	9606.ENSP00000447488	0	0	0	0	0.056	0.091	0	0.601	0.627
DLG1	LIN7B	9606.ENSP00000345731	9606.ENSP00000221459	0	0	0	0.708	0.074	0.509	0.540	0.510	0.884
DLG1	LIN7C	9606.ENSP00000345731	9606.ENSP00000278193	0	0	0	0.722	0.115	0.802	0.720	0.220	0.956
DLG1	LIN7A	9606.ENSP00000345731	9606.ENSP00000447488	0	0	0	0.688	0.068	0.413	0.540	0.569	0.877
EPS8	WHRN	9606.ENSP00000494689	9606.ENSP00000354623	0	0	0	0	0	0	0.800	0.940	0.987
EPS8	LIN7A	9606.ENSP00000494689	9606.ENSP00000447488	0	0	0	0	0	0	0	0.591	0.591
LIN7A	LIN7B	9606.ENSP00000447488	9606.ENSP00000221459	0	0	0.052	0.976	0	0	0.540	0.062	0.555
LIN7A	LIN7C	9606.ENSP00000447488	9606.ENSP00000278193	0	0	0.051	0.978	0	0	0.540	0.061	0.554
LIN7A	SDC2	9606.ENSP00000447488	9606.ENSP00000307046	0	0	0	0	0.060	0	0	0.416	0.428
LIN7A	WHRN	9606.ENSP00000447488	9606.ENSP00000354623	0	0	0	0.629	0	0	0	0.419	0.418
LIN7A	PPFIA2	9606.ENSP00000447488	9606.ENSP00000450337	0	0.004	0	0	0.087	0.095	0.500	0.644	0.833
LIN7B	PPFIA2	9606.ENSP00000221459	9606.ENSP00000450337	0	0.014	0	0	0.063	0.091	0.500	0.331	0.677
LIN7B	LIN7C	9606.ENSP00000221459	9606.ENSP00000278193	0	0	0.050	0.981	0	0.815	0.540	0.058	0.913
LIN7C	PPFIA2	9606.ENSP00000278193	9606.ENSP00000450337	0	0.005	0	0	0.063	0.091	0.500	0.254	0.640
