#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMK2A	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.999
CAMK2A	CAMK2B	0	0	0	0	0	0	0	0	0	0	0.996
CAMK2A	CAMK2D	0	0	0	0	0	0	0	0	0	0	0.996
CAMK2A	MAPT	0	0	0	0	0	0	0	0	0	0	0.983
CAMK2A	GRIA1	0	0	0	0	0	0	0	0	0	0	0.98
CAMK2A	CALM2	0	0	0	0	0	0	0	0	0	0	0.976
CAMK2A	GRIA2	0	0	0	0	0	0	0	0	0	0	0.969
CAMK2A	CALM3	0	0	0	0	0	0	0	0	0	0	0.967
CAMK2A	GRIA4	0	0	0	0	0	0	0	0	0	0	0.964
CAMK2A	GRIA3	0	0	0	0	0	0	0	0	0	0	0.961
