#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RHOA	PKN1	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	RTKN	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	ANLN	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	ARHGEF2	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	ARHGAP35	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	ARHGEF12	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	PLD1	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	AKAP13	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	DAAM1	0	0	0	0	0	0	0	0	0	0	0.999
RHOA	ROCK2	0	0	0	0	0	0	0	0	0	0	0.999
