#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MAP2K3	MAPK14	0	0	0	0	0	0	0	0	0	0	0.995
MAP2K3	MAP3K5	0	0	0	0	0	0	0	0	0	0	0.983
MAP2K3	TAOK2	0	0	0	0	0	0	0	0	0	0	0.978
MAP2K3	MAP3K4	0	0	0	0	0	0	0	0	0	0	0.975
MAP2K3	MAP2K6	0	0	0	0	0	0	0	0	0	0	0.974
MAP2K3	TAB1	0	0	0	0	0	0	0	0	0	0	0.968
MAP2K3	MAPK12	0	0	0	0	0	0	0	0	0	0	0.966
MAP2K3	MAPK11	0	0	0	0	0	0	0	0	0	0	0.965
MAP2K3	CCM2	0	0	0	0	0	0	0	0	0	0	0.96
MAP2K3	MAPK13	0	0	0	0	0	0	0	0	0	0	0.957
