#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KCNAB1	KCNA1	0	0	0	0	0	0	0	0	0	0	0.989
KCNAB1	KCNA2	0	0	0	0	0	0	0	0	0	0	0.985
KCNAB1	KCNA5	0	0	0	0	0	0	0	0	0	0	0.975
KCNAB1	KCNC1	0	0	0	0	0	0	0	0	0	0	0.945
KCNAB1	KCNA4	0	0	0	0	0	0	0	0	0	0	0.945
KCNAB1	RAB28	0	0	0	0	0	0	0	0	0	0	0.941
KCNAB1	KCND2	0	0	0	0	0	0	0	0	0	0	0.934
KCNAB1	KCNA3	0	0	0	0	0	0	0	0	0	0	0.921
KCNAB1	KCNB1	0	0	0	0	0	0	0	0	0	0	0.899
KCNAB1	KCNH1	0	0	0	0	0	0	0	0	0	0	0.897
