#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLG1	GRIK5	9606.ENSP00000345731	9606.ENSP00000301218	0	0	0	0	0.059	0.073	0.500	0.226	0.617
DLG1	GRIK1	9606.ENSP00000345731	9606.ENSP00000327687	0	0	0	0	0.059	0.073	0.500	0.248	0.628
DLG1	GRIK4	9606.ENSP00000345731	9606.ENSP00000435648	0	0	0	0	0.059	0.073	0.500	0.110	0.559
DLG1	GRIK3	9606.ENSP00000345731	9606.ENSP00000362183	0	0	0	0	0.059	0.073	0.500	0.141	0.575
DLG1	PICK1	9606.ENSP00000345731	9606.ENSP00000385205	0	0	0	0	0	0	0	0.766	0.766
DLG1	GRIK2	9606.ENSP00000345731	9606.ENSP00000397026	0	0	0	0	0.061	0.526	0.500	0.700	0.924
DLG1	DLG4	9606.ENSP00000345731	9606.ENSP00000497806	0	0	0.053	0.973	0	0.138	0.800	0.764	0.956
DLG1	DLG3	9606.ENSP00000345731	9606.ENSP00000363480	0	0	0.056	0.966	0.057	0.606	0.900	0.396	0.974
DLG3	GRIK5	9606.ENSP00000363480	9606.ENSP00000301218	0	0	0	0	0.059	0.315	0.500	0.250	0.726
DLG3	GRIK1	9606.ENSP00000363480	9606.ENSP00000327687	0	0	0	0	0.059	0.073	0.500	0.305	0.656
DLG3	GRIK3	9606.ENSP00000363480	9606.ENSP00000362183	0	0	0	0	0.080	0.073	0.500	0.180	0.603
DLG3	PICK1	9606.ENSP00000363480	9606.ENSP00000385205	0	0	0	0	0.049	0	0	0.517	0.521
DLG3	GRIK4	9606.ENSP00000363480	9606.ENSP00000435648	0	0	0	0	0.059	0.073	0.500	0.256	0.632
DLG3	GRIK2	9606.ENSP00000363480	9606.ENSP00000397026	0	0	0	0	0.059	0.315	0.500	0.684	0.884
DLG3	DLG4	9606.ENSP00000363480	9606.ENSP00000497806	0	0	0.057	0.965	0	0.547	0.900	0.955	0.997
DLG4	GRIK5	9606.ENSP00000497806	9606.ENSP00000301218	0	0	0	0	0.179	0.526	0.500	0.769	0.949
DLG4	NETO1	9606.ENSP00000497806	9606.ENSP00000313088	0	0	0	0	0.133	0.138	0	0.371	0.489
DLG4	GRIK1	9606.ENSP00000497806	9606.ENSP00000327687	0	0	0	0	0.093	0.315	0.500	0.838	0.943
DLG4	GRIK3	9606.ENSP00000497806	9606.ENSP00000362183	0	0	0	0	0.103	0.073	0.540	0.275	0.685
DLG4	PICK1	9606.ENSP00000497806	9606.ENSP00000385205	0	0	0	0	0.062	0	0	0.962	0.962
DLG4	GRIK2	9606.ENSP00000497806	9606.ENSP00000397026	0	0	0	0	0.079	0.743	0.540	0.991	0.998
DLG4	GRIK4	9606.ENSP00000497806	9606.ENSP00000435648	0	0	0	0	0.105	0.073	0.540	0.348	0.717
GRIK1	GRIK5	9606.ENSP00000327687	9606.ENSP00000301218	0	0	0.082	0.897	0.062	0.167	0.500	0.984	0.993
GRIK1	NETO1	9606.ENSP00000327687	9606.ENSP00000313088	0	0	0	0	0.146	0.237	0	0.773	0.839
GRIK1	PICK1	9606.ENSP00000327687	9606.ENSP00000385205	0	0	0	0	0.070	0.297	0	0.593	0.711
GRIK1	NETO2	9606.ENSP00000327687	9606.ENSP00000455169	0	0	0	0	0.079	0.237	0	0.642	0.726
GRIK1	GRIK3	9606.ENSP00000327687	9606.ENSP00000362183	0	0	0.052	0.975	0.122	0.091	0.500	0.977	0.989
GRIK1	GRIK4	9606.ENSP00000327687	9606.ENSP00000435648	0	0	0.067	0.888	0.067	0.167	0.500	0.984	0.993
GRIK1	GRIK2	9606.ENSP00000327687	9606.ENSP00000397026	0	0	0.050	0.979	0.064	0.095	0.900	0.980	0.998
GRIK2	GRIK5	9606.ENSP00000397026	9606.ENSP00000301218	0	0	0.076	0.909	0	0.965	0.500	0.983	0.999
GRIK2	NETO1	9606.ENSP00000397026	9606.ENSP00000313088	0	0	0	0	0.125	0.237	0	0.872	0.907
