#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PICK1	GRIA2	0	0	0	0	0	0	0	0	0	0	0.999
PICK1	PRKCA	0	0	0	0	0	0	0	0	0	0	0.999
PICK1	GRIP1	0	0	0	0	0	0	0	0	0	0	0.998
PICK1	GRIA3	0	0	0	0	0	0	0	0	0	0	0.995
PICK1	GRM7	0	0	0	0	0	0	0	0	0	0	0.992
PICK1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.987
PICK1	SLC6A3	0	0	0	0	0	0	0	0	0	0	0.983
PICK1	GRIA4	0	0	0	0	0	0	0	0	0	0	0.981
PICK1	ASIC1	0	0	0	0	0	0	0	0	0	0	0.979
PICK1	GRIP2	0	0	0	0	0	0	0	0	0	0	0.973
