#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IGF1R	IGF2	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	ESR1	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	IRS1	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	INS	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	PTPN11	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	SHC1	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	IGF1	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	GNB2L1	0	0	0	0	0	0	0	0	0	0	0.999
IGF1R	PTPN1	0	0	0	0	0	0	0	0	0	0	0.998
IGF1R	IRS2	0	0	0	0	0	0	0	0	0	0	0.998
