#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0	0	0	0.420	0.680	0.900	0.602	0.991
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0	0	0.122	0.126	0.900	0.368	0.945
ACTB	MYH10	9606.ENSP00000494750	9606.ENSP00000353590	0	0	0	0	0.084	0.238	0.900	0.464	0.957
ACTB	MYH11	9606.ENSP00000494750	9606.ENSP00000379616	0	0	0	0	0.091	0.368	0.900	0.403	0.961
ACTB	MYL6	9606.ENSP00000494750	9606.ENSP00000446955	0	0	0	0	0.286	0.314	0.900	0.529	0.973
ACTB	MYL6B	9606.ENSP00000494750	9606.ENSP00000450385	0	0	0	0	0.067	0.150	0.900	0.182	0.926
ACTB	MYL12A	9606.ENSP00000494750	9606.ENSP00000464359	0	0	0	0	0.134	0.389	0.900	0.191	0.951
ACTB	MYH14	9606.ENSP00000494750	9606.ENSP00000493594	0	0	0	0	0.044	0.073	0.900	0.153	0.914
MYH10	MYH9	9606.ENSP00000353590	9606.ENSP00000216181	0	0	0.051	0.979	0.056	0.666	0.900	0.592	0.985
MYH10	MYL9	9606.ENSP00000353590	9606.ENSP00000279022	0	0	0	0	0.116	0.869	0.900	0.720	0.996
MYH10	MYLK	9606.ENSP00000353590	9606.ENSP00000353452	0	0	0	0	0.113	0.100	0.500	0.574	0.807
MYH10	MYH14	9606.ENSP00000353590	9606.ENSP00000493594	0	0	0.055	0.970	0	0.095	0.900	0.127	0.915
MYH10	MYH11	9606.ENSP00000353590	9606.ENSP00000379616	0	0	0.051	0.978	0.056	0	0.900	0.392	0.938
MYH10	MYL6B	9606.ENSP00000353590	9606.ENSP00000450385	0	0	0	0	0.097	0.713	0.900	0.319	0.980
MYH10	MYL12A	9606.ENSP00000353590	9606.ENSP00000464359	0	0	0	0	0.101	0.658	0.900	0.518	0.983
MYH10	MYL6	9606.ENSP00000353590	9606.ENSP00000446955	0	0	0	0	0.059	0.915	0.900	0.694	0.997
MYH11	MYH9	9606.ENSP00000379616	9606.ENSP00000216181	0	0	0.051	0.979	0.060	0	0.900	0.383	0.937
MYH11	MYL9	9606.ENSP00000379616	9606.ENSP00000279022	0	0	0	0	0.291	0.414	0.900	0.707	0.986
MYH11	MYLK	9606.ENSP00000379616	9606.ENSP00000353452	0	0	0	0	0.410	0.100	0.500	0.825	0.947
MYH11	MYLK2	9606.ENSP00000379616	9606.ENSP00000365162	0	0	0	0	0.069	0.068	0	0.447	0.478
MYH11	MYH14	9606.ENSP00000379616	9606.ENSP00000493594	0	0	0.057	0.966	0.049	0.126	0.900	0.088	0.915
MYH11	MYL12A	9606.ENSP00000379616	9606.ENSP00000464359	0	0	0	0	0.103	0.414	0.900	0.271	0.956
MYH11	MYL6B	9606.ENSP00000379616	9606.ENSP00000450385	0	0	0	0	0.059	0.500	0.900	0.193	0.956
MYH11	MYL6	9606.ENSP00000379616	9606.ENSP00000446955	0	0	0	0	0.079	0.678	0.900	0.462	0.981
MYH14	MYH9	9606.ENSP00000493594	9606.ENSP00000216181	0	0	0.056	0.969	0.058	0.263	0.900	0.127	0.932
MYH14	MYL9	9606.ENSP00000493594	9606.ENSP00000279022	0	0	0	0	0.045	0.300	0.900	0.296	0.946
MYH14	MYLK	9606.ENSP00000493594	9606.ENSP00000353452	0	0	0	0	0.042	0.045	0.500	0.175	0.572
MYH14	MYL6	9606.ENSP00000493594	9606.ENSP00000446955	0	0	0	0	0.049	0.597	0.900	0.264	0.968
MYH14	MYL6B	9606.ENSP00000493594	9606.ENSP00000450385	0	0	0	0	0	0.296	0.900	0.067	0.928
MYH14	MYL12A	9606.ENSP00000493594	9606.ENSP00000464359	0	0	0	0	0	0.523	0.900	0.223	0.959
MYH9	MYLK	9606.ENSP00000216181	9606.ENSP00000353452	0	0	0	0	0.161	0.215	0.500	0.385	0.770
MYH9	MYL6B	9606.ENSP00000216181	9606.ENSP00000450385	0	0	0	0	0.059	0.668	0.900	0.289	0.974
MYH9	MYL12A	9606.ENSP00000216181	9606.ENSP00000464359	0	0	0	0	0.139	0.707	0.900	0.494	0.985
MYH9	MYL9	9606.ENSP00000216181	9606.ENSP00000279022	0	0	0	0	0.160	0.766	0.900	0.549	0.990
MYH9	MYL6	9606.ENSP00000216181	9606.ENSP00000446955	0	0	0	0	0.545	0.890	0.900	0.737	0.998
MYL12A	MYL9	9606.ENSP00000464359	9606.ENSP00000279022	0	0	0.049	0.983	0.061	0.620	0.900	0.049	0.961
MYL12A	MYLK	9606.ENSP00000464359	9606.ENSP00000353452	0	0	0	0	0.068	0.354	0.900	0.596	0.972
MYL12A	MYLK2	9606.ENSP00000464359	9606.ENSP00000365162	0	0	0	0	0.067	0.129	0.900	0.909	0.991
