#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DFNB31	MYO15A	0	0	0	0	0	0	0	0	0	0	0.998
DFNB31	GPR98	0	0	0	0	0	0	0	0	0	0	0.996
DFNB31	USH2A	0	0	0	0	0	0	0	0	0	0	0.995
DFNB31	EPS8	0	0	0	0	0	0	0	0	0	0	0.972
DFNB31	MYO7A	0	0	0	0	0	0	0	0	0	0	0.941
DFNB31	LRRC4C	0	0	0	0	0	0	0	0	0	0	0.936
DFNB31	CDH23	0	0	0	0	0	0	0	0	0	0	0.915
DFNB31	VEZT	0	0	0	0	0	0	0	0	0	0	0.908
DFNB31	USH1G	0	0	0	0	0	0	0	0	0	0	0.906
DFNB31	PCDH15	0	0	0	0	0	0	0	0	0	0	0.906
