#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMKK2	PRKAB2	9606.ENSP00000312741	9606.ENSP00000254101	0	0	0	0	0.049	0.256	0.900	0.697	0.975
CAMKK2	PRKAG2	9606.ENSP00000312741	9606.ENSP00000287878	0	0	0	0	0.075	0.301	0.900	0.663	0.975
CAMKK2	STK11	9606.ENSP00000312741	9606.ENSP00000324856	0	0	0	0.699	0.092	0.187	0.900	0.330	0.944
CAMKK2	PRKAA1	9606.ENSP00000312741	9606.ENSP00000346148	0	0	0	0.630	0.060	0.458	0.900	0.247	0.956
CAMKK2	PRKAG3	9606.ENSP00000312741	9606.ENSP00000397133	0	0	0	0	0.057	0.301	0.900	0.448	0.958
CAMKK2	PRKAA2	9606.ENSP00000312741	9606.ENSP00000360290	0	0	0	0.645	0	0.503	0.900	0.347	0.964
CAMKK2	PRKAB1	9606.ENSP00000312741	9606.ENSP00000441369	0	0	0	0	0.067	0.352	0.900	0.607	0.973
CAMKK2	PRKAG1	9606.ENSP00000312741	9606.ENSP00000323867	0	0	0	0	0.110	0.427	0.900	0.567	0.975
GYS1	PRKAB2	9606.ENSP00000317904	9606.ENSP00000254101	0	0	0	0	0.093	0.691	0.900	0.295	0.977
GYS1	GYS2	9606.ENSP00000317904	9606.ENSP00000261195	0	0	0.052	0.976	0	0	0.900	0.063	0.903
GYS1	PRKAG2	9606.ENSP00000317904	9606.ENSP00000287878	0	0	0	0	0.086	0	0.900	0.463	0.946
GYS1	PRKAA1	9606.ENSP00000317904	9606.ENSP00000346148	0	0	0	0	0.094	0.095	0.900	0.225	0.928
GYS1	PRKAG1	9606.ENSP00000317904	9606.ENSP00000323867	0	0	0	0	0.110	0	0.900	0.293	0.931
GYS1	PRKAB1	9606.ENSP00000317904	9606.ENSP00000441369	0	0	0	0	0.093	0.126	0.900	0.281	0.935
GYS1	PRKAA2	9606.ENSP00000317904	9606.ENSP00000360290	0	0	0	0	0.087	0.152	0.900	0.324	0.940
GYS1	PRKAG3	9606.ENSP00000317904	9606.ENSP00000397133	0	0	0	0	0.086	0	0.900	0.419	0.942
GYS2	PRKAB2	9606.ENSP00000261195	9606.ENSP00000254101	0	0	0	0	0.075	0.094	0.900	0.240	0.927
GYS2	PRKAA1	9606.ENSP00000261195	9606.ENSP00000346148	0	0	0	0	0.087	0.095	0.900	0.166	0.921
GYS2	PRKAG1	9606.ENSP00000261195	9606.ENSP00000323867	0	0	0	0	0.086	0	0.900	0.230	0.923
GYS2	PRKAA2	9606.ENSP00000261195	9606.ENSP00000360290	0	0	0	0	0.087	0.095	0.900	0.183	0.923
GYS2	PRKAG3	9606.ENSP00000261195	9606.ENSP00000397133	0	0	0	0	0.086	0	0.900	0.246	0.925
GYS2	PRKAB1	9606.ENSP00000261195	9606.ENSP00000441369	0	0	0	0	0.075	0.094	0.900	0.245	0.928
GYS2	PRKAG2	9606.ENSP00000261195	9606.ENSP00000287878	0	0	0	0	0.086	0	0.900	0.378	0.938
PRKAA1	PRKAB2	9606.ENSP00000346148	9606.ENSP00000254101	0	0	0	0	0.070	0.982	0.900	0.936	0.999
PRKAA1	PRKAG2	9606.ENSP00000346148	9606.ENSP00000287878	0	0	0	0	0.128	0.913	0.900	0.883	0.999
PRKAA1	PRKAG1	9606.ENSP00000346148	9606.ENSP00000323867	0	0	0	0	0.301	0.947	0.900	0.969	0.999
PRKAA1	STK11	9606.ENSP00000346148	9606.ENSP00000324856	0	0	0	0.732	0.049	0.759	0.900	0.474	0.986
PRKAA1	PRKAA2	9606.ENSP00000346148	9606.ENSP00000360290	0	0	0.052	0.976	0	0.433	0.900	0.748	0.984
PRKAA1	PRKAG3	9606.ENSP00000346148	9606.ENSP00000397133	0	0	0	0	0.104	0.847	0.900	0.859	0.997
PRKAA1	PRKAB1	9606.ENSP00000346148	9606.ENSP00000441369	0	0	0	0	0.095	0.985	0.900	0.980	0.999
PRKAA2	PRKAB2	9606.ENSP00000360290	9606.ENSP00000254101	0	0	0	0	0.043	0.992	0.900	0.970	0.999
PRKAA2	PRKAG2	9606.ENSP00000360290	9606.ENSP00000287878	0	0	0	0	0.110	0.906	0.900	0.854	0.998
PRKAA2	PRKAG1	9606.ENSP00000360290	9606.ENSP00000323867	0	0	0	0	0.110	0.991	0.900	0.927	0.999
PRKAA2	STK11	9606.ENSP00000360290	9606.ENSP00000324856	0	0	0	0.731	0	0.636	0.900	0.468	0.978
PRKAA2	PRKAG3	9606.ENSP00000360290	9606.ENSP00000397133	0	0	0	0	0.110	0.852	0.900	0.801	0.997
PRKAA2	PRKAB1	9606.ENSP00000360290	9606.ENSP00000441369	0	0	0	0	0	0.992	0.900	0.967	0.999
PRKAB1	PRKAB2	9606.ENSP00000441369	9606.ENSP00000254101	0	0	0.055	0.970	0.060	0.832	0.900	0.831	0.997
PRKAB1	PRKAG2	9606.ENSP00000441369	9606.ENSP00000287878	0	0	0	0	0.049	0.946	0.900	0.894	0.999
PRKAB1	PRKAG1	9606.ENSP00000441369	9606.ENSP00000323867	0	0	0	0	0.419	0.995	0.900	0.998	0.999
PRKAB1	STK11	9606.ENSP00000441369	9606.ENSP00000324856	0	0	0	0	0.067	0.314	0.900	0.657	0.975
PRKAB1	PRKAG3	9606.ENSP00000441369	9606.ENSP00000397133	0	0	0	0	0	0.920	0.900	0.924	0.999
PRKAB2	STK11	9606.ENSP00000254101	9606.ENSP00000324856	0	0	0	0	0.049	0.314	0.900	0.688	0.976
PRKAB2	PRKAG1	9606.ENSP00000254101	9606.ENSP00000323867	0	0	0	0	0.060	0.994	0.900	0.996	0.999
PRKAB2	PRKAG3	9606.ENSP00000254101	9606.ENSP00000397133	0	0	0	0	0	0.922	0.900	0.886	0.999
PRKAB2	PRKAG2	9606.ENSP00000254101	9606.ENSP00000287878	0	0	0	0	0.049	0.941	0.900	0.926	0.999
PRKAG1	PRKAG2	9606.ENSP00000323867	9606.ENSP00000287878	0	0	0.054	0.971	0.067	0.625	0.900	0.466	0.979
PRKAG1	PRKAG3	9606.ENSP00000323867	9606.ENSP00000397133	0	0	0.062	0.957	0	0	0.900	0.582	0.957
PRKAG1	STK11	9606.ENSP00000323867	9606.ENSP00000324856	0	0	0	0	0.076	0.437	0.900	0.564	0.974
PRKAG2	PRKAG3	9606.ENSP00000287878	9606.ENSP00000397133	0	0	0.073	0.927	0	0	0.900	0.470	0.946
PRKAG2	STK11	9606.ENSP00000287878	9606.ENSP00000324856	0	0	0	0	0.076	0.303	0.900	0.491	0.962
PRKAG3	STK11	9606.ENSP00000397133	9606.ENSP00000324856	0	0	0	0	0.069	0.303	0.900	0.443	0.959
