#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1D	CACNA2D1	0	0	0	0	0	0	0	0	0	0	0.989
CACNA1D	CACNB3	0	0	0	0	0	0	0	0	0	0	0.987
CACNA1D	CACNB2	0	0	0	0	0	0	0	0	0	0	0.982
CACNA1D	CACNA1C	0	0	0	0	0	0	0	0	0	0	0.976
CACNA1D	CACNB1	0	0	0	0	0	0	0	0	0	0	0.973
CACNA1D	CACNG1	0	0	0	0	0	0	0	0	0	0	0.965
CACNA1D	CACNB4	0	0	0	0	0	0	0	0	0	0	0.965
CACNA1D	STX1A	0	0	0	0	0	0	0	0	0	0	0.964
CACNA1D	CACNA2D4	0	0	0	0	0	0	0	0	0	0	0.963
CACNA1D	CACNG7	0	0	0	0	0	0	0	0	0	0	0.96
