#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	WASF1	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	SOS1	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	BRK1	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	EPS8	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	CYFIP2	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	WASF2	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	ABL1	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	NCKAP1	0	0	0	0	0	0	0	0	0	0	0.999
ABI1	WASL	0	0	0	0	0	0	0	0	0	0	0.998
ABI1	CYFIP1	0	0	0	0	0	0	0	0	0	0	0.997
