#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NCOA1	PPARG	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	NR1I2	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	RXRA	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	ESR1	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	CREBBP	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	AR	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	ESR2	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	PPARA	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	NR3C1	0	0	0	0	0	0	0	0	0	0	0.999
NCOA1	EP300	0	0	0	0	0	0	0	0	0	0	0.999
