#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NRXN2	NLGN1	0	0	0	0	0	0	0	0	0	0	0.998
NRXN2	NLGN2	0	0	0	0	0	0	0	0	0	0	0.998
NRXN2	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.99
NRXN2	NLGN3	0	0	0	0	0	0	0	0	0	0	0.989
NRXN2	LRRTM2	0	0	0	0	0	0	0	0	0	0	0.984
NRXN2	NXPH1	0	0	0	0	0	0	0	0	0	0	0.984
NRXN2	GRID2	0	0	0	0	0	0	0	0	0	0	0.971
NRXN2	CBLN1	0	0	0	0	0	0	0	0	0	0	0.969
NRXN2	DLG4	0	0	0	0	0	0	0	0	0	0	0.966
NRXN2	CASK	0	0	0	0	0	0	0	0	0	0	0.957
