#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TP53	GSK3B	0	0	0	0	0	0	0	0	0	0	0.999
TP53	CCNG1	0	0	0	0	0	0	0	0	0	0	0.999
TP53	CDKN2A	0	0	0	0	0	0	0	0	0	0	0.999
TP53	MDM4	0	0	0	0	0	0	0	0	0	0	0.999
TP53	NPM1	0	0	0	0	0	0	0	0	0	0	0.999
TP53	KAT5	0	0	0	0	0	0	0	0	0	0	0.999
TP53	TBP	0	0	0	0	0	0	0	0	0	0	0.999
TP53	RPA1	0	0	0	0	0	0	0	0	0	0	0.999
TP53	BARD1	0	0	0	0	0	0	0	0	0	0	0.999
TP53	DDX5	0	0	0	0	0	0	0	0	0	0	0.999
